Ranking,Symbol,Name,Sector,Market Cap ($M),Past 1Y Returns
#146,ALL,Aristocrat Leisure Limited,Communication Services,"29,778",-25%
#147,NWL,Netwealth Group Limited,Financial Services,"8,495",-25%
#148,PDL,Pendal Group Limited,Financial Services,"2,139",-25%
#149,CKF,Collins Foods Limited,Consumer Cyclical,"1,546",-25%
#150,TPG,TPG Telecom Limited,Communication Services,"11,082",-26%
#151,IFL,IOOF Holdings Ltd,Financial Services,"2,360",-26%
#152,REA,REA Group Limited,Communication Services,"22,246",-26%
#153,PMV,Premier Investments Limited,Consumer Cyclical,"4,825",-26%
#154,RWC,Reliance Worldwide Corporation Limited,Industrials,"4,978",-27%
#155,CHC,Charter Hall Group,Real Estate,"27,765",-27%
#156,GUD,GUD Holdings Limited,Industrials,"1,036",-28%
#157,FBU,Fletcher Building Limited,Basic Materials,"5,524",-28%
#158,MGR,Mirvac Group,Real Estate,"11,810",-28%
#159,SLR,Silver Lake Resources Limited,Basic Materials,"1,525",-29%
#160,HUB,HUB24 Limited,Financial Services,"1,950",-29%
#161,LIC,Lifestyle Communities Limited,Real Estate,"2,178",-29%
#162,SFR,Sandfire Resources Limited,Basic Materials,"1,130",-30%
#163,VUK,Virgin Money UK PLC,Financial Services,"4,590",-31%
#164,NCM,Newcrest Mining Limited,Basic Materials,"19,737",-31%
#165,AWC,Alumina Limited,Basic Materials,"5,455",-31%
#166,BGA,Bega Cheese Limited,Consumer Defensive,"1,525",-31%
#167,RRL,Regis Resources Limited,Basic Materials,"1,666",-32%
#168,BKL,Blackmores Limited,Consumer Defensive,"1,775",-32%
#169,ING,Inghams Group Limited,Consumer Defensive,"1,275",-33%
#170,PPT,Perpetual Limited,Financial Services,"2,018",-34%
#171,BRG,Breville Group Limited,Consumer Cyclical,"4,087",-34%
#172,ABC,Adbri Limited,Basic Materials,"1,809",-35%
#173,JHX,James Hardie Industries plc,Basic Materials,"24,927",-36%
#174,INA,Ingenia Communities Group,Real Estate,"2,020",-37%
#175,SEK,SEEK Limited,Industrials,"11,860",-37%
#176,SIQ,Smartgroup Corporation Ltd,Industrials,"1,007",-38%
#177,NAN,Nanosonics Limited,Healthcare,"1,917",-39%
#178,FPH,Fisher & Paykel Healthcare Corporation Limited,Healthcare,"17,906",-40%
#179,ARB,ARB Corporation Limited,Consumer Cyclical,"4,324",-40%
#180,CHN,Chalice Mining Limited,Basic Materials,"2,969",-40%
#181,PNI,Pinnacle Investment Management Group Limited,Financial Services,"2,906",-42%
#182,CNI,Centuria Capital Group,Financial Services,"2,637",-42%
#183,CCP,Credit Corp Group Limited,Financial Services,"2,214",-42%
#184,XRO,Xero Limited,Technology,"21,350",-44%
#185,DHG,Domain Holdings Australia Limited,Communication Services,"3,178",-44%
#186,EVN,Evolution Mining Limited,Basic Materials,"6,954",-45%
#187,SBM,St Barbara Limited,Basic Materials,"1,009",-48%
#188,IMU,Imugene Limited,Healthcare,"2,027",-56%
#189,RMS,Ramelius Resources Limited,Basic Materials,"1,250",-56%
#190,DMP,Domino's Pizza Enterprises Limited,Consumer Cyclical,"10,505",-56%
#191,BLD,Boral Limited,Basic Materials,"7,166",-56%
#192,MP1,Megaport Limited,Technology,"2,968",-57%
#193,MFG,Magellan Financial Group Limited,Financial Services,"3,853",-63%
#194,NVX,Novonix Limited,Industrials,"3,366",-64%
#195,TAH,Tabcorp Holdings Limited,Consumer Cyclical,"11,374",-78%
