Ticker_no,Ticker,Name,Ticker_s,Price,MKT CAP,1Y Return,1M Return,Momentum Return,Momentum Rank,P/S,P/E,P/FCF,P/B,PS Rank,PE Rank,PFCF Rank,PB Rank,Value Average,Value Rank,Sector,ROA,ROE,Gross margin,GPOA,Gross Profit,Asset,ROA Rank,ROE Rank,GM Rank,GPOA Rank,Profitability Average,Profitability Rank,Name
NYSE:MMC,MMC,marsh-and-mclennan,MMC,154.93,76846746803,-7.14414144,-1.02849112,-6.20%,195,4,23.17,36.65,7.07,175,208,201,125,177,327,Finance,10.42073687,35.10026426,,,,32023000000,150,94,,,122,84,"Marsh & McLennan Companies, Inc."
NASDAQ:ADI,ADI,analog-devices,ADI,146.59,75397326332,-17.02139703,-2.24726594,-15.10%,270,7.79,39.35,54.3,1.96,72,72,122,357,156,364,Electronic Technology,5.24542642,7.72156808,49.98236508,8%,3990883000,50346170000,266,359,171,387,296,332,"Analog Devices, Inc."
NASDAQ:PDD,PDD,pinduoduo,PDD,58.97,73906439117,-40.27749646,-8.88442522,-34.50%,418,5.48,26.17,21.07,6,113,153,297,146,177,327,Retail Trade,11.49872423,25.76738733,72.86617374,33%,9527602458,28681027889,124,169,63,118,119,77,Pinduoduo Inc.
NYSE:TGT,TGT,target,TGT,159.19,73269209874,-36.73396391,-1.1242236,-36.00%,423,0.72,17.54,30.36,5.67,465,274,241,154,284,163,Retail Trade,8.13441818,33.19189062,24.04153725,55%,28698000000,52470000000,193,108,355,28,171,150,Target Corporation
NYSE:NOW,NOW,servicenow,NOW,360.67,72855342712,-46.96029412,-13.13133746,-38.90%,439,12.28,393.48,73.31,19.25,36,6,81,44,42,486,Technology Services,1.81379072,4.92703173,77.48484848,41%,4543000000,11102000000,383,388,46,66,221,227,"ServiceNow, Inc."
NASDAQ:BKNG,BKNG,booking,BKNG,1822.79,72376148644,-24.06781779,-3.464657,-21.30%,326,6.69,47.29,39.44,11.79,89,52,191,71,101,436,Consumer Services,6.38359449,35.08692194,,,,24493000000,237,95,,,166,140,Booking Holdings Inc. Common Stock
NYSE:EL,EL,estee-lauder,EL,201.8,72060418748,-34.05013236,-17.82049194,-19.70%,310,4.13,30.78,80.18,12.84,166,117,64,66,103,433,Consumer Non-Durables,10.86338947,41.04061132,75.79926699,61%,13435000000,22030000000,140,71,54,17,71,27,"Estee Lauder Companies, Inc. (The)"
NYSE:PGR,PGR,progressive-ohio,PGR,122.45,71608756721,29.28940978,-2.6706939,32.80%,32,1.46,,16.09,3.92,399,,333,228,320,120,Finance,1.28936651,4.96266928,,,,67631700000,396,387,,,392,471,Progressive Corporation (The)
NYSE:SLB,SLB,schlumberger,SLB,50.41,71299314273,46.75400291,28.89286627,13.90%,88,2.84,22.03,15.2,4.27,265,217,339,209,258,205,Industrial Services,6.99392701,19.28545979,19.72681307,9%,4086000000,44093000000,218,221,383,372,299,338,Schlumberger N.V.
NASDAQ:AMAT,AMAT,applied-materials,AMAT,82.42,70906698118,-37.39936199,-6.7330542,-32.90%,411,3.13,10.53,31.91,5.73,237,368,229,152,247,225,Producer Manufacturing,26.24802528,55.08495649,46.83377834,42%,10890000000,26161000000,17,47,185,63,78,37,"Applied Materials, Inc."
NYSE:SO,SO,southern,SO,64.5,70192022644,1.01801096,-16.91356434,21.60%,56,2.92,22.41,,2.5,256,213,,308,259,203,Utilities,2.36952423,10.58420201,26.47570451,5%,6560000000,1.31E+11,366,319,341,418,361,428,Southern Company (The)
NYSE:ZTS,ZTS,zoetis,ZTS,147.21,68914679060,-28.91153178,-3.99765228,-26.00%,356,8.85,32.78,92.18,15.02,59,106,54,56,69,467,Health Technology,15.01490714,46.80851064,68.25515947,39%,5312000000,13770000000,79,60,85,77,75,33,Zoetis Inc.
NYSE:DUK,DUK,duke-energy,DUK,88.46,68105301463,-13.60484422,-16.57864957,3.60%,144,2.67,17.62,,1.42,279,270,,405,318,122,Utilities,2.31401435,7.98757307,27.08287047,4%,7105000000,1.72E+11,367,351,333,433,371,443,Duke Energy Corporation (Holding Company)
NYSE:MMM,MMM,3m,MMM,116.81,66535435176,-36.11703582,-0.01711889,-36.10%,424,1.87,15.82,42.77,4.3,353,294,168,206,255,213,Producer Manufacturing,8.83533282,29.44306492,44.48054724,36%,16612000000,45634000000,179,137,204,97,154,123,3M Company
NYSE:GD,GD,general-dynamics,GD,242.6,66532133632,16.65704943,4.15593337,12.00%,93,1.74,20.1,28.42,3.74,364,240,256,237,274,177,Electronic Technology,6.50771168,20.23117852,16.96625998,13%,6408000000,50481000000,234,211,396,324,291,320,General Dynamics Corporation
NYSE:OXY,OXY,occidental-petroleum,OXY,71.26,66378117874,115.2219873,8.57839403,98.20%,3,2.54,6.8,4.13,6.09,286,410,419,145,315,126,Energy Minerals,14.20101454,47.51486739,43.80433802,10%,7604000000,74221000000,87,58,208,357,178,161,Occidental Petroleum Corporation
NYSE:WM,WM,waste-management,WM,159.83,66063449504,-1.38820336,-6.44462655,5.40%,127,3.76,31.14,48.21,9.3,194,114,148,91,137,387,Industrial Services,7.2475281,29.48700316,26.84041826,16%,4821000000,30128000000,212,135,334,284,241,252,"Waste Management, Inc."
NYSE:HUM,HUM,humana,HUM,510.54,64610724873,12.61746151,1.11505021,11.40%,97,0.78,20.62,101.39,4.05,462,234,44,223,241,236,Health Services,7.4048769,20.72330465,,,,46820000000,207,204,,,206,200,Humana Inc.
NYSE:PNC,PNC,pnc-financial,PNC,156.37,64131086770,-26.49022189,-4.53601954,-23.00%,337,3.24,11.16,18.04,1.23,229,356,322,425,333,104,Finance,1.03989966,25.28564874,,,,5.59E+11,409,176,,,293,323,"PNC Financial Services Group, Inc. (The)"
NYSE:BDX,BDX,becton-dickinson,BDX,223.6,63769632673,-7.50244714,-8.43945784,1.00%,155,3.21,37.7,30.32,2.67,232,84,242,293,213,285,Health Technology,3.32180188,7.19754977,45.98625013,18%,9476000000,53199000000,331,363,189,261,286,316,"Becton, Dickinson and Company"
NYSE:PXD,PXD,pioneer-natural-resources,PXD,264.35,63091608740,38.55547985,12.336393,23.30%,49,3.5,10.51,36.29,2.7,211,370,206,291,270,184,Energy Minerals,16.66194236,26.58740415,43.62784415,18%,6836000000,37301000000,64,161,211,255,173,153,Pioneer Natural Resources Company
NYSE:BAM,BAM,brookfield,BAM,38.25,62798276768,-35.91891439,-19.50757576,-20.40%,317,0.77,16.75,,1.4,463,278,,409,383,48,Finance,1.01447207,9.26442079,16.4196149,6%,25488734068,4.13E+11,412,337,400,400,387,465,Brookfield Asset Management Inc.
NASDAQ:FISV,FISV,fiserv,FISV,96.74,61873388709,-11.85421412,-5.85831063,-6.40%,199,3.93,30.87,23.32,2,182,115,287,356,235,246,Finance,2.65118833,6.44812566,51.34642521,10%,8090000000,77212000000,354,374,165,355,312,360,"Fiserv, Inc."
NASDAQ:CME,CME,cme,CME,169.99,61100605315,-20.97898847,-8.88674492,-13.30%,258,13.04,21.13,954.61,2.23,32,229,4,331,149,374,Finance,1.63497016,10.60935015,79.69634373,2%,3723100000,1.77E+11,387,318,33,442,295,327,CME Group Inc.
NASDAQ:MU,MU,micron-technology,MU,56.05,60935798029,-17.51287712,12.68596703,-26.80%,369,1.96,6.94,24.24,1.2,342,408,279,428,364,64,Electronic Technology,13.88453793,18.51449275,45.18499252,21%,13951000000,66283000000,90,231,198,223,186,169,"Micron Technology, Inc."
NYSE:ITW,ITW,illinois-tool-works,ITW,195.62,60568196245,-12.47035662,-0.5894908,-12.00%,248,4.14,22.4,97.85,16.31,165,214,50,51,120,413,Producer Manufacturing,16.94936952,76.77587707,39.59828778,37%,5833000000,15666000000,55,28,228,89,100,59,Illinois Tool Works Inc.
NYSE:USB,USB,us-bancorp,USB,40.51,60189109680,-35.25651271,-10.09764758,-28.00%,379,2.63,9.53,15.81,1.22,282,385,336,426,357,71,Finance,1.12112612,12.93750494,,,,6.01E+11,405,284,,,345,404,U.S. Bancorp
NYSE:CL,CL,colgate-palmolive,CL,71.47,59887708225,-5.24990057,-5.43794655,0.20%,159,3.42,30.48,58.15,96.95,218,121,108,8,114,416,Consumer Non-Durables,12.26111637,615.1898734,58.24293785,66%,10293000000,15711000000,108,4,124,10,62,21,Colgate-Palmolive Company
NYSE:AON,AON,aon,AON,280.12,59084468974,-10.87779581,0.89687714,-11.70%,242,5.08,39.27,42.53,55.41,124,75,169,13,95,442,Finance,4.29148629,57.79246016,,,,34720000000,293,42,,,168,143,Aon plc
NYSE:BSX,BSX,boston-scientific,BSX,40.57,58080594955,-8.41986456,0.02465483,-8.40%,216,4.85,69.81,48.26,3.45,134,30,146,254,141,381,Distribution Services,2.79053617,5.32642425,61.6757239,23%,7461000000,32189000000,348,385,103,202,260,276,Boston Scientific Corporation
NASDAQ:CSX,CSX,csx,CSX,27.54,57900337286,-22.04924993,-7.30393807,-15.90%,274,4.88,14.4,34.34,4.42,132,318,219,198,217,280,Transportation,9.91125517,31.35537888,39.18213058,13%,5289000000,42242000000,159,119,239,325,211,208,CSX Corporation
NASDAQ:ATVI,ATVI,activision-blizzard,ATVI,72.71,56881510686,-6.44621719,-3.28544826,-3.30%,175,6.53,30.61,26.49,3.25,92,120,265,267,186,315,Technology Services,7.73380554,10.87623791,71.87704382,26%,6479000000,24994000000,201,313,70,168,188,176,"Activision Blizzard, Inc"
NYSE:SNOW,SNOW,snowflake,SNOW,177.1,56672001953,-46.9760479,-3.32969432,-45.10%,457,42.86,,693.64,10.77,3,,5,79,29,490,Technology Services,-10.31737336,-13.0033736,63.76140683,11%,755332000,7064115000,478,443,97,352,343,400,Snowflake Inc.
NYSE:HCA,HCA,hca-healthcare,HCA,196.66,56446300341,-22.963021,-3.44658288,-20.20%,315,1.17,11.78,17.75,,430,345,324,,366,63,Health Services,10.6406983,,15.09364548,19%,9678000000,51484000000,142,,406,247,265,283,"HCA Healthcare, Inc."
NYSE:MPC,MPC,marathon-petroleum,MPC,111.38,55536745760,66.41266995,12.49368751,47.90%,13,0.58,7.39,28.91,2.42,475,404,252,319,363,65,Energy Minerals,8.56902066,29.64129864,9.8200237,7%,6841000000,96737000000,184,132,431,393,285,314,Marathon Petroleum Corporation
NYSE:ETN,ETN,eaton,ETN,139.33,55495138029,-14.02566951,-0.91031932,-13.20%,257,2.77,23.49,188.09,3.29,271,204,15,265,189,312,Producer Manufacturing,6.42883945,14.55266138,32.59000809,18%,6315000000,35153000000,235,266,277,259,259,275,"Eaton Corporation, PLC"
NYSE:UBER,UBER,uber,UBER,28.02,55477305811,-39.0472047,-10.90620032,-31.60%,402,3.02,,,3.76,244,,,234,239,241,Transportation,-29.92046384,-96.59243617,29.96086106,18%,5571000000,31014000000,494,464,304,260,381,453,"Uber Technologies, Inc."
NYSE:TFC,TFC,truist-financial,TFC,41.51,55058589162,-35.01878522,-12.31516688,-25.90%,353,2.35,9.27,32.35,0.86,304,389,227,454,344,89,Finance,1.17178824,9.52243148,,,,5.45E+11,400,332,,,366,437,Truist Financial Corporation
NYSE:EPD,EPD,enterprise-prods-partners,EPD,25.01,54503030787,1.27556185,-3.77068103,5.20%,129,1.32,11.27,20.12,2.15,412,354,305,338,352,79,Industrial Services,7.17968675,19.1567402,12.81317774,10%,6748500000,70354000000,214,224,420,367,306,353,Enterprise Products Partners L.P.
NYSE:D,D,dominion-energy,D,65.53,54432491086,-14.64113586,-18.49502488,4.70%,134,3.73,24.26,,2.04,196,185,,351,244,230,Utilities,1.6345882,6.00944445,54.4563573,8%,7966000000,1.04E+11,388,380,144,389,325,376,"Dominion Energy, Inc."
NYSE:MET,MET,metlife,MET,68.06,54285628593,2.67008599,3.27769347,-0.60%,167,0.82,16.45,4.95,0.81,459,285,417,458,405,33,Finance,0.49994917,6.75834675,,,,6.63E+11,434,370,,,402,478,"MetLife, Inc."
NYSE:DG,DG,dollar-general,DG,239.37,53995104284,10.93243118,-3.06944726,14.40%,84,1.63,23.63,34.34,8.71,379,201,220,97,224,261,Retail Trade,8.61819287,37.56646518,31.42124822,38%,10813006000,28239256000,183,82,289,80,159,130,Dollar General Corporation
NYSE:SHW,SHW,sherwin-williams,SHW,207.82,53863422193,-31.16035642,-5.57499205,-27.10%,372,2.69,30.19,55.76,21.56,277,124,116,37,139,383,Process Industries,8.24430852,69.29516288,39.52011088,38%,8467700000,22052800000,192,32,231,78,133,100,Sherwin-Williams Company (The)
NYSE:APD,APD,air-products-and-chemicals,APD,241.29,53517874567,-17.77194656,-2.10564752,-16.00%,276,5.14,23.76,,3.9,121,197,,229,182,322,Process Industries,8.30500306,16.69934298,27.1408759,11%,3135300000,27489000000,189,248,330,340,277,298,"Air Products and Chemicals, Inc."
NASDAQ:KDP,KDP,keurig-dr-pepper,KDP,37.62,53274115836,8.19672131,-0.13273162,8.30%,117,4.2,24.48,35.18,2.12,164,177,213,342,224,262,Consumer Non-Durables,4.27622529,8.76835976,50.09417615,12%,6392000000,51428000000,295,345,169,326,284,312,Keurig Dr Pepper Inc.
NYSE:MCK,MCK,mckesson,MCK,370.64,53272257387,79.9223301,6.25232921,69.30%,6,0.21,38.22,11.44,,498,79,368,,315,126,Distribution Services,2.2302279,,4.72758022,20%,12649000000,62295000000,372,,440,233,348,411,McKesson Corporation
NASDAQ:CHTR,CHTR,charter,CHTR,330.4,53080330282,-55.21882327,-9.53150242,-50.50%,470,1.23,10.54,14.63,4.03,425,366,342,225,340,96,Consumer Services,3.82965985,37.65100441,41.92000903,14%,20606000000,1.43E+11,314,81,218,302,229,235,"Charter Communications, Inc."
NYSE:EW,EW,edwards,EW,84.81,52577368913,-26.59684958,-2.88560632,-24.40%,344,10.09,36.21,58.15,8.95,45,91,109,94,85,450,Health Technology,18.09388831,26.2781103,77.51073763,48%,4006600000,8425100000,48,164,44,46,76,34,Edwards Lifesciences Corporation
NYSE:ICE,ICE,intercontinental-exchange,ICE,93.05,51964542049,-28.56046065,-2.5858459,-26.70%,366,5.03,15.11,35.17,2.23,127,307,214,330,245,229,Finance,1.93018257,15.36428669,68.77778983,3%,7364000000,2.15E+11,378,257,83,438,289,319,Intercontinental Exchange Inc.
NYSE:GM,GM,general-motors,GM,35,51031713257,-39.65517241,-10.62308478,-32.50%,410,0.39,6.36,,0.84,489,413,,455,452,4,Consumer Durables,3.54962449,15.20631708,12.79324153,10%,25778000000,2.54E+11,324,259,421,359,341,394,General Motors Company
NASDAQ:LRCX,LRCX,lam-research,LRCX,369.29,50588223236,-32.22668796,-8.79476414,-25.70%,352,2.91,10.21,36.42,7.76,257,375,205,110,237,243,Producer Manufacturing,28.29903163,73.32523213,45.6746462,42%,7838160000,18721282000,12,31,193,61,74,31,Lam Research Corporation
NYSE:VLO,VLO,valero-energy,VLO,127.74,50325769996,57.41219963,16.59364732,35.00%,29,0.44,7.16,11.79,2.76,485,407,364,286,386,45,Energy Minerals,11.76450948,36.49404454,7.80489369,5%,3231000000,64345000000,117,89,434,417,264,281,Valero Energy Corporation
NYSE:ADM,ADM,archer-daniels-midland,ADM,89.69,50276769880,38.4532263,2.03640501,35.70%,28,0.59,13.93,8.33,2.2,474,326,389,333,381,50,Process Industries,6.3802245,15.65198477,6.8949075,12%,7256000000,61828000000,238,254,436,335,316,364,Archer-Daniels-Midland Company
NASDAQ:MRNA,MRNA,moderna,MRNA,128.32,50198725775,-61.94656149,-1.57244765,-61.30%,483,2.77,3.61,8.22,3.37,270,440,390,258,340,96,Health Technology,66.61768888,113.8563733,80.88016782,60%,15564000000,26043000000,2,18,28,18,17,4,"Moderna, Inc."
NASDAQ:MAR,MAR,marriott,MAR,153.49,49815385511,-0.03907522,-1.80410722,1.80%,152,3.51,27.9,54.74,34.04,210,142,118,26,124,406,Consumer Services,7.09705002,135.7476636,19.88398684,10%,2581000000,24615000000,217,16,380,354,242,254,Marriott International
NASDAQ:TEAM,TEAM,,TEAM,194.1,49484208342,-52.67238857,-18.2427025,-42.10%,449,17.41,,59.37,146.27,15,,106,6,42,485,Technology Services,-19.4757514,-194.8001402,83.05722467,69%,2327996000,3361206000,491,468,22,7,247,260,Atlassian Corporation
NYSE:EMR,EMR,emerson,EMR,83.16,49172509150,-14.08203327,5.45270099,-18.50%,298,2.65,15.16,31.78,4.83,281,305,230,178,249,222,Producer Manufacturing,10.27533075,32.24523105,39.11007026,19%,7219000000,37042000000,154,113,241,239,187,174,Emerson Electric Company
NYSE:F,F,ford,F,12.19,49008497534,-24.56683168,-7.9305136,-18.10%,291,0.35,4.1,9.15,1,491,435,381,447,439,8,Consumer Durables,4.72235766,29.60942752,12.42746256,10%,24548000000,2.46E+11,285,133,424,360,301,343,Ford Motor Company
NYSE:NSC,NSC,norfolk-southern,NSC,208.04,48863114073,-26.2243342,-10.11449557,-17.90%,290,4.56,16.33,42.04,3.61,148,287,171,244,213,286,Transportation,7.76796005,22.08146773,38.55421687,11%,4365000000,39336000000,200,198,246,344,247,260,Norfolk Southern Corporation
NYSE:DVN,DVN,devon-energy,DVN,74.29,48645091693,82.98029557,11.12939417,64.70%,7,3.47,9.13,18.58,5.13,213,392,318,171,274,179,Energy Minerals,24.07360318,56.32538266,47.00140926,22%,5209000000,23194000000,21,44,183,209,114,69,Devon Energy Corporation
NASDAQ:PANW,PANW,palo-alto-networks,PANW,162.03,48481612646,-4.82996195,-8.1462585,3.60%,142,8.52,,27.44,225.62,62,,260,3,108,427,Technology Services,-2.37383975,-63.23268206,64.01345088,31%,3782800000,12253600000,463,459,95,138,289,318,"Palo Alto Networks, Inc."
NYSE:PSX,PSX,phillips-66,PSX,100.44,48316772295,21.48040639,18.37360047,2.60%,146,0.38,8.42,12.41,2.23,490,396,360,329,394,39,Energy Minerals,9.04089691,25.5274013,5.95239701,5%,3379000000,62812000000,174,173,438,410,299,339,Phillips 66
NYSE:FIS,FIS,fidelity-information-services,FIS,77.83,47318973735,-36.96954972,-6.05914303,-32.90%,412,3.43,55.55,19.21,0.98,217,42,311,448,255,215,Commercial Services,1.04503792,1.78296698,38.11674774,7%,5195000000,79620000000,407,412,249,397,366,439,"Fidelity National Information Services, Inc."
NYSE:LHX,LHX,l3-harris,LHX,247.2,47302497951,1.8583378,5.82644805,-3.70%,180,2.73,24.62,28.36,2.41,274,172,257,320,256,212,Electronic Technology,5.44428934,9.81283217,29.993459,16%,5376000000,34138000000,261,329,303,288,295,328,"L3Harris Technologies, Inc."
NASDAQ:ORLY,ORLY,o-reilly-auto,ORLY,744.07,47113243871,14.83979504,5.34162018,9.00%,113,3.82,23.09,17.78,,187,209,323,,240,239,Retail Trade,17.78959107,,52.0138616,56%,6699549000,12067689000,49,,159,23,77,35,"O'Reilly Automotive, Inc."
NYSE:HSY,HSY,hershey,HSY,228.22,46781320111,25.50593929,2.2536852,22.70%,52,5.2,28.58,44.61,16.8,120,138,164,47,117,414,Consumer Non-Durables,16.73639407,63.19890149,43.6402609,37%,3968416000,10588874000,62,40,210,85,99,56,The Hershey Company
NYSE:VMW,VMW,vmware,VMW,109.64,46539446102,-32.93369219,-1.88814318,-31.60%,404,3.54,28.93,,,206,133,,,170,338,Technology Services,5.47539899,32.23360656,81.22194324,37%,10487000000,27993000000,260,114,27,86,122,82,"Vmware, Inc."
NASDAQ:MNST,MNST,monster-beverage,MNST,87.59,46149898844,3.01070211,-0.64655172,3.70%,141,8.41,38.01,46.27,7.01,64,82,156,128,108,429,Consumer Non-Durables,16.0833972,19.28609113,51.56334139,38%,3108513000,8175012000,71,220,163,82,134,102,Monster Beverage Corporation
NYSE:FCX,FCX,freeport-mcmoran,FCX,32.03,45779528711,-15.79915878,7.01637153,-21.30%,325,1.93,11.03,11.74,3.03,348,359,365,277,337,100,Non-Energy Minerals,7.9860394,27.32186385,36.66169896,17%,8287000000,49927000000,197,153,254,272,219,226,"Freeport-McMoRan, Inc."
NYSE:GIS,GIS,general-mills,GIS,77.04,45725986598,22.59707193,-1.20543729,24.10%,46,2.47,16.13,28.49,4.36,297,290,254,201,261,200,Consumer Non-Durables,9.1435291,28.62076962,30.761326,20%,6283500000,31107200000,173,147,294,235,212,212,"General Mills, Inc."
NASDAQ:SNPS,SNPS,synopsys,SNPS,296.5,45338214218,-6.08172315,-7.13189463,1.10%,154,10.85,43.95,35.39,8.37,42,57,212,102,103,433,Technology Services,11.59152114,19.20105223,76.80560252,35%,3304316000,9329547000,122,223,50,106,125,91,"Synopsys, Inc."
NYSE:CTVA,CTVA,corteva,CTVA,62.88,45185567232,43.46338125,1.06075217,42.00%,17,2.93,26.22,19.96,1.77,254,151,307,377,272,181,Process Industries,4.27174098,6.87285223,36.49643777,14%,5732000000,40906000000,296,369,256,304,306,353,"Corteva, Inc."
NYSE:AZO,AZO,autozone,AZO,2301.03,44841553550,29.16250351,6.99926994,20.70%,60,2.88,19.22,,,262,252,,,257,207,Retail Trade,16.31085404,,52.13222726,55%,8472650000,15275043000,65,,158,24,82,47,"AutoZone, Inc."
NYSE:SRE,SRE,sempra-energy,SRE,142.28,44720073831,8.37078224,-16.65885661,30.00%,37,3.35,39.28,,1.76,222,74,,378,225,259,Utilities,1.62563285,4.47909501,26.54585697,5%,3644000000,75582000000,389,394,338,421,386,463,DBA Sempra
NYSE:MCO,MCO,moodys,MCO,242.03,44412504776,-34.73993583,-11.37678506,-26.40%,362,7.17,25.66,51.9,16.16,78,161,128,53,105,431,Commercial Services,12.84847583,77.05357143,66.72252011,30%,4324000000,14315000000,102,27,90,140,90,51,Moody's Corporation
NASDAQ:AEP,AEP,american-electric-power,AEP,85.63,43991036535,0.99068286,-14.74512147,18.50%,70,2.53,16.54,,1.89,288,282,,367,312,133,Utilities,2.9381433,11.33098711,27.21539974,5%,4670200000,90861300000,342,308,329,414,348,410,"American Electric Power Company, Inc."
AMEX:LNG,LNG,cheniere-energy-partners,LNG,175.79,43909304448,68.23619485,3.40588235,62.70%,8,2.5,,14,,293,,348,,321,119,Industrial Services,-6.48433997,,33.99902764,14%,5624000000,41313000000,472,,266,314,351,416,"Cheniere Energy, Inc."
NASDAQ:ADSK,ADSK,autodesk,ADSK,201.39,43471851794,-32.47611065,2.0212766,-33.80%,416,9.99,77.97,37.59,50.84,47,27,197,15,72,462,Technology Services,7.12952785,53.9510591,89.52777719,48%,3940300000,8227000000,216,50,8,45,80,43,"Autodesk, Inc."
NASDAQ:CDNS,CDNS,cadence-design-systems,CDNS,158.34,43364574024,-1.76809976,-6.05476282,4.60%,135,14.28,54.72,50.18,15.46,26,45,133,55,65,471,Technology Services,18.2733914,30.1495613,89.14589284,61%,2661598000,4361274000,46,130,9,16,50,11,"Cadence Design Systems, Inc."
NASDAQ:KHC,KHC,kraft-heinz,KHC,35.21,43147730619,-4.32065217,2.56335567,-6.70%,203,1.68,28.81,17.43,0.88,373,134,326,453,322,118,Consumer Non-Durables,1.60772386,3.07106779,30.57235379,9%,8587000000,91676000000,390,403,296,370,365,433,The Kraft Heinz Company
NYSE:CMG,CMG,chipotle-mexican-grill,CMG,1549.82,43030202994,-14.69084224,-9.89418605,-5.30%,190,5.8,57.51,47.62,18.78,106,39,151,45,85,449,Consumer Services,11.7543501,34.93912355,19.16759975,22%,1452352000,6545336000,120,97,389,210,204,196,"Chipotle Mexican Grill, Inc."
NYSE:STZ,STZ,constellation-brands,STZ,225.15,42921814457,3.23719565,-7.05498679,11.10%,100,4.8,,37.12,3.55,138,,199,247,195,308,Consumer Non-Durables,0.42119094,1.01546519,52.20314932,19%,4599700000,24280900000,435,415,157,243,313,361,"Constellation Brands, Inc."
NYSE:APH,APH,amphenol,APH,71.55,42559954159,-8.6906585,-1.2558653,-7.50%,211,3.98,24.14,65.67,6.57,178,188,93,135,149,375,Electronic Technology,11.98773405,29.07929523,31.52254064,23%,3401800000,14986100000,113,140,287,206,187,172,Amphenol Corporation
NASDAQ:MELI,MELI,mercadolibre,MELI,844.9,42530807322,-47.39627434,-6.7326055,-43.60%,451,5.78,173.53,171.26,27.01,108,13,18,32,43,483,Retail Trade,2.69613559,28.55107975,45.47329184,25%,2909931000,11447000000,353,148,194,172,217,222,"MercadoLibre, Inc."
NASDAQ:FTNT,FTNT,fortinet,FTNT,53.75,42382990417,-19.49736401,5.16532968,-23.50%,339,12.9,63.25,49.89,53.46,34,35,137,14,55,475,Electronic Technology,12.42007113,205.0813936,74.62850853,48%,2540700000,5294500000,105,11,57,44,54,15,"Fortinet, Inc."
NYSE:CNC,CNC,centene,CNC,73.85,42211241987,8.73085984,-11.7998328,23.30%,50,0.35,23.59,14.77,1.61,492,202,341,388,356,73,Health Services,2.43776172,7.12643678,,,,81060000000,365,365,,,365,435,Centene Corporation
NYSE:RSG,RSG,republic-services,RSG,133.54,42189733310,2.16509831,-8.05563206,11.10%,99,3.74,30.32,48.53,4.67,195,123,144,184,162,351,Industrial Services,5.32189508,15.41967466,28.9717341,12%,3289100000,28212900000,264,256,314,337,293,324,"Republic Services, Inc."
NYSE:HES,HES,hess,HES,135.58,41977588530,52.1661055,11.12203918,36.90%,25,5.22,27.61,27.52,6.4,119,144,258,138,165,344,Energy Minerals,7.257225,23.19391635,39.17279983,12%,2611000000,21180000000,211,190,240,327,242,255,Hess Corporation
NYSE:ECL,ECL,ecolab,ECL,145.91,41582779198,-34.0132055,-7.24683745,-28.90%,384,3.22,37.03,79.55,5.64,230,87,67,156,135,390,Process Industries,5.57065594,16.02173519,39.30627295,25%,5221900000,21163600000,257,250,235,185,232,238,Ecolab Inc.
NYSE:TRV,TRV,travelers,TRV,176.23,41299064947,11.42161667,9.33738677,1.90%,150,1.23,12.48,6.13,1.43,424,341,410,402,394,37,Finance,3.08127784,13.77015296,,,,1.05E+11,338,278,,,308,356,"The Travelers Companies, Inc."
NASDAQ:KLAC,KLAC,kla-tencor,KLAC,290.63,41213606126,-11.08969652,-12.57144576,1.70%,153,4.56,12.64,20.43,28.03,147,339,303,31,205,294,Electronic Technology,29.05174222,139.0195871,60.82586012,44%,5552375000,12597088000,11,14,108,55,47,9,KLA Corporation
NASDAQ:CTAS,CTAS,cintas,CTAS,399.94,40612034970,-5.62110629,-2.28205629,-3.40%,176,5.28,32.92,45.6,12.07,116,104,159,69,112,418,Consumer Services,15.51290247,38.24063911,46.25331258,44%,3632246000,8261026000,75,79,186,56,99,55,Cintas Corporation
NYSE:SYY,SYY,sysco,SYY,80.05,40565971766,0.18773467,0.04999375,0.10%,161,0.58,29.2,136.4,28.41,476,131,25,30,166,343,Transportation,6.24732021,92.58574331,17.7945947,55%,12214524000,22085688000,243,24,394,26,172,152,Sysco Corporation
NYSE:AIG,AIG,american-international-group,AIG,53.25,40492159332,-10.29312668,-0.98549647,-9.40%,220,0.86,3.42,9.52,0.65,457,441,378,464,435,10,Finance,2.57476387,22.81314224,,,,4.64E+11,359,193,,,276,296,"American International Group, Inc. New"
NASDAQ:PAYX,PAYX,paychex,PAYX,112.16,40422533092,-7.8919274,-7.67204478,-0.20%,162,8.74,28.03,120.45,12.96,61,141,36,64,76,458,Technology Services,15.55598815,46.54338365,70.54276663,36%,3255400000,9125900000,74,61,79,104,80,41,"Paychex, Inc."
NASDAQ:NTES,NTES,netease,NTES,62.43,40135414500,-38.18199822,-22.8973694,-19.80%,311,3.21,14.96,22.31,2.83,233,310,292,283,280,168,Technology Services,11.32750078,19.58432663,54.13418279,29%,7283019303,25122803878,128,215,147,148,160,132,"NetEase, Inc."
NYSE:FDX,FDX,fedex,FDX,153.23,39873476942,-33.75270212,-2.50683973,-32.00%,408,0.43,11.08,26.25,1.56,487,358,267,392,376,52,Transportation,4.2686777,14.48818261,21.35380911,23%,20167000000,85826000000,297,267,368,198,283,309,FedEx Corporation
