Ticker_no,Ticker,Ticker_s,Price,MKT CAP,1Y Return,1M Return,Momentum Return,Momentum Rank,P/S,P/E,P/FCF,P/B,PS Rank,PE Rank,PFCF Rank,PB Rank,Value Average,Value Rank,Sector,ROA,ROE,Gross margin,GPOA,Gross Profit,Asset,ROA Rank,ROE Rank,GM Rank,GPOA Rank,Profitability Average,Profitability Rank,Name
TSE:6098,6098,6098,4380,7.16E+12,-38.37929094,0.80552359,-38.90%,479,2.51335647,23.66951182,22.6617,5.1885179,101,146,198,45,123,404,Technology Services,12.32289501,22.28662649,54.24601342,57%,1.53E+12,2.69E+12,51,46,86,14,49,20,RECRUIT HOLDINGS CO LTD
TSE:9434,9434,9434,1450,6.82E+12,-5.75235619,-3.33333333,-2.50%,237,1.2126496,14.00425236,65.706,4.08292112,242,270,64,72,162,349,Communications,3.94189441,32.07563733,48.88860331,22%,2.80E+12,1.28E+13,303,19,111,213,162,122,SOFTBANK CORP.
TSE:6367,6367,6367,21665,6.34E+12,-15.37109375,-8.25746348,-7.80%,286,2.09515857,31.07561439,80.7987,3.30122112,131,84,43,98,89,441,Producer Manufacturing,5.65121146,10.86430041,32.53151574,25%,1.00E+12,4.08E+12,215,208,215,178,204,192,DAIKIN INDUSTRIES
TSE:4661,4661,4661,19205,6.29E+12,6.28112894,-4.92574257,11.80%,118,24.04153153,250.1784721,,8.52926045,2,5,,23,10,498,Consumer Services,2.47348274,3.4645168,27.15468428,5%,56851000000,1.10E+12,369,449,279,438,384,420,ORIENTAL LAND CO
TSE:4063,4063,4063,14855,6.17E+12,-23.58539095,-6.42519685,-18.30%,388,2.9935041,10.52743247,32.9271,1.8636565,85,349,142,192,192,316,Process Industries,15.34089287,18.53697917,43.478895,21%,8.65E+11,4.17E+12,31,77,133,227,117,73,SHIN-ETSU CHEMICAL CO
TSE:6501,6501,6501,6360,6.15E+12,-6.67644901,-4.34651827,-2.40%,236,0.60448067,12.44709934,18.5371,1.42840914,356,299,228,245,282,189,Producer Manufacturing,3.76122833,12.13796399,24.81449044,18%,2.56E+12,1.46E+13,309,176,311,282,270,289,HITACHI
TSE:8035,8035,8035,38390,5.98E+12,-22.06658546,-5.20987654,-17.80%,379,2.8652046,13.51652758,162.257,4.24335318,90,278,19,70,114,412,Producer Manufacturing,25.76353667,35.59567162,44.50550753,49%,9.12E+11,1.85E+12,8,12,129,32,45,15,TOKYO ELECTRON
TSE:8058,8058,8058,4052,5.94E+12,11.56387665,-6.0078868,18.70%,80,0.34985626,4.74056182,14.878,0.87473777,441,460,261,366,382,62,Distribution Services,6.08893099,19.26092024,13.23812473,9%,2.15E+12,2.30E+13,190,70,422,405,272,295,MITSUBISHI CORP
TSE:4519,4519,4519,3571,5.87E+12,-9.25031766,2.99971157,-11.90%,323,5.93084142,15.24265813,53.3887,4.988246,40,247,86,49,106,427,Health Technology,26.81573642,32.9755302,63.32043732,41%,6.60E+11,1.63E+12,7,17,55,58,34,8,CHUGAI PHARMACEUTICAL CO
TSE:4502,4502,4502,3719,5.85E+12,15.28208308,-2.97417167,18.80%,78,1.66510586,29.90129715,8.98084,1.02793224,181,89,310,317,224,273,Health Technology,1.47730802,3.41646841,53.7891854,15%,2.04E+12,1.41E+13,413,450,89,331,321,362,TAKEDA PHARMACEUTICAL CO LTD
TSE:8316,8316,8316,4126,5.66E+12,5.01399847,-5.30181317,10.90%,123,1.3998916,7.4481726,38.0889,0.46507102,214,421,119,474,307,161,Finance,0.29651253,6.22239778,,,,2.70E+14,454,377,,,416,458,SUMITOMO MITSUI FINANCIAL GROUP INC
TSE:8001,8001,8001,3794,5.64E+12,15.07430998,0.79702444,14.20%,104,0.46756582,7.29866909,12.0874,1.35258027,400,424,288,256,342,115,Distribution Services,6.47034204,19.41009874,15.45548722,12%,1.62E+12,1.30E+13,166,69,404,359,250,248,ITOCHU CORP
TSE:7267,7267,7267,3257,5.61E+12,-7.20797721,-7.07560628,-0.10%,217,0.38564919,8.83752071,4.90362,0.53296885,426,389,334,461,403,37,Consumer Durables,2.68904296,6.17469411,20.35833527,11%,2.86E+12,2.52E+13,357,378,355,373,366,404,HONDA MOTOR CO
TSE:6902,6902,6902,7069,5.44E+12,-10.1093591,-3.95380435,-6.40%,274,0.99374854,24.08121652,,1.26394064,280,140,,270,230,262,Producer Manufacturing,3.14337186,5.40787182,21.98657793,17%,1.26E+12,7.46E+12,336,394,335,298,341,385,DENSO CORP
TSE:8766,8766,8766,2606.5,5.29E+12,27.87420801,-0.99382351,29.20%,39,0.96296837,14.0527463,5.30276,1.34067114,289,267,330,259,286,182,Finance,1.42348449,9.99502988,,,,2.76E+13,416,240,,,328,366,TOKIO MARINE HOLDINGS INC
TSE:7741,7741,7741,14145,5.10E+12,-18.18970503,-2.44827586,-16.10%,369,8.02827456,30.82616037,40.4415,6.53819413,27,87,112,32,65,462,Health Technology,18.14830326,22.3387575,77.5933088,50%,5.11E+11,1.02E+12,18,45,24,30,29,6,HOYA CORP
TSE:8031,8031,8031,3189,5.02E+12,22.09035222,-2.17791411,24.80%,53,0.4451322,5.19451283,11.4604,0.91739637,412,456,297,351,379,70,Process Industries,6.91162084,18.87315262,9.25552899,7%,1.08E+12,1.58E+13,154,72,456,423,276,300,MITSUI & CO
TSE:3382,3382,3382,5608,4.95E+12,17.51886002,-5.96914822,25.00%,51,0.57457278,20.91767336,15.851,1.68653574,368,174,251,210,251,229,Retail Trade,2.50137588,7.60855407,25.35837925,23%,2.45E+12,1.05E+13,366,327,304,195,298,332,SEVEN & I HOLDINGS CO LTD
TSE:6594,6594,6594,7740,4.53E+12,-38.52263701,-15.16878562,-27.50%,449,2.35621134,31.14388256,,3.47119943,113,81,,88,94,434,Producer Manufacturing,5.59431522,11.42921322,21.95539396,14%,4.04E+11,2.90E+12,218,195,336,337,272,293,NIDEC CORPORATION
TSE:6981,6981,6981,6961,4.45E+12,-18.72737887,-5.29251701,-14.20%,350,2.4607626,14.2763434,26.7498,1.97043426,103,259,174,175,178,329,Electronic Technology,11.73850929,14.54186102,42.02670062,27%,7.68E+11,2.85E+12,60,125,144,151,120,77,MURATA MANUFACTURING CO
TSE:2914,2914,2914,2424,4.30E+12,5.89777195,1.06316448,4.80%,168,1.85965844,11.45770411,15.819,1.53846713,155,324,252,230,240,248,Consumer Non-Durables,6.19249707,11.67722098,54.22297249,19%,1.26E+12,6.65E+12,182,186,87,254,177,148,JAPAN TOBACCO INC
TSE:8411,8411,8411,1619.5,4.10E+12,2.89072427,-3.28456256,6.40%,152,1.37644512,9.35665023,1.24143,0.4527513,221,373,344,477,354,100,Finance,0.18396765,4.81127289,,,,2.51E+14,468,411,,,440,474,MIZUHO FINANCIAL GROUP
TSE:6954,6954,6954,20310,3.90E+12,-18.1213465,-6.83486239,-12.10%,330,5.32135897,24.81705734,939.552,2.53980149,46,135,2,132,79,452,Producer Manufacturing,9.18624274,10.48910895,39.47184035,16%,2.86E+11,1.79E+12,92,227,160,311,198,180,FANUC CORPORATION
TSE:7733,7733,7733,3008,3.83E+12,19.01088032,1.82802979,16.90%,88,4.46744493,31.7798948,26.6608,7.54584946,59,77,176,27,85,446,Health Technology,9.45761018,24.84245747,65.69210577,37%,5.38E+11,1.43E+12,87,33,51,70,60,26,OLYMPUS CORPORATION
TSE:6273,6273,6273,57580,3.80E+12,-13.78948944,-7.94564349,-6.30%,272,5.28312261,17.21188561,116.888,2.44538701,47,222,26,141,109,418,Producer Manufacturing,12.61071053,14.48869715,50.3124413,19%,3.64E+11,1.95E+12,50,126,106,260,136,96,SMC CORP
TSE:7182,7182,7182,991,3.72E+12,5.42553191,-4.80307397,10.70%,125,1.91160432,11.53406553,,0.36282537,149,322,,489,320,140,Finance,0.13977102,3.02098669,,,,2.35E+14,475,454,,,465,488,JAPAN POST BANK CO LTD
TSE:4503,4503,4503,1990.5,3.64E+12,1.29770992,2.49742533,-1.20%,226,2.86336079,31.36637268,24.8725,2.50919535,92,80,188,135,124,401,Health Technology,4.99693636,8.0912523,76.86710642,41%,1.01E+12,2.48E+12,246,311,26,56,160,121,ASTELLAS PHARMA
TSE:5108,5108,5108,5076,3.57E+12,-0.50960408,1.01492537,-1.50%,228,1.10436336,30.99303312,189.898,1.36119133,258,85,16,253,153,360,Consumer Durables,6.39105445,10.90341644,41.28837964,24%,1.23E+12,5.01E+12,172,206,149,179,177,145,BRIDGESTONE CORP
TSE:6178,6178,6178,989.7,3.53E+12,9.72283814,-0.9507616,10.80%,124,0.33870308,7.98016354,2.60057,0.29462228,446,410,340,498,424,26,Finance,0.15243795,3.63725501,,,,3.04E+14,473,443,,,458,485,JAPAN POST HLDGS CO LTD
TSE:9022,9022,9022,17305,3.41E+12,0.23168259,1.40638734,-1.20%,225,3.72597176,148.1747433,,0.97762393,68,11,,331,137,378,Transportation,0.24947139,0.65389702,25.60259735,2%,1.47E+11,9.40E+12,458,475,300,467,425,462,CENTRAL JAPAN RAILWAY CO
TSE:7751,7751,7751,3317,3.37E+12,14.30048243,0.51515152,13.70%,105,0.98090581,16.06495801,15.8539,1.19905711,284,236,250,279,262,215,Electronic Technology,4.32494176,7.28437044,45.93061974,32%,1.63E+12,5.15E+12,277,343,119,118,214,209,CANON INC
TSE:4543,4543,4543,4400,3.33E+12,-13.91117198,2.51630941,-16.00%,368,4.72198298,39.8612259,43.6889,3.27913905,55,51,104,99,77,453,Health Technology,5.70079239,8.3711878,51.681515,22%,3.49E+11,1.58E+12,209,300,99,211,205,193,TERUMO CORP
TSE:6702,6702,6702,16110,3.19E+12,-24.33067168,0.90823677,-25.00%,436,0.89370884,18.18999702,57.4778,2.00069107,301,212,81,172,192,317,Technology Services,5.65181764,11.47707184,30.82272462,35%,1.12E+12,3.19E+12,214,193,235,87,182,160,FUJITSU
TSE:9020,9020,9020,7984,3.01E+12,7.96484111,4.32510127,3.50%,182,1.56064234,3313.5017,,1.28958095,197,1,,266,155,359,Transportation,0.01037498,0.03861757,23.55306494,3%,2.99E+11,9.08E+12,478,478,321,454,433,467,EAST JAPAN RAILWAY CO
TSE:6503,6503,6503,1402.5,2.99E+12,-13.23847819,2.297593,-15.20%,360,0.6617278,16.85640744,48.2609,0.98574869,343,225,96,326,248,236,Electronic Technology,3.5683604,6.05317102,32.07437452,29%,1.46E+12,5.12E+12,319,383,222,137,265,276,MITSUBISHI ELECTRIC CORP
TSE:9613,9613,9613,2087,2.93E+12,-7.53212229,8.41558442,-14.70%,358,1.14253697,19.22641204,30.9783,2.29413428,251,200,154,151,189,319,Commercial Services,5.01907838,12.32085707,26.56860917,22%,6.76E+11,3.12E+12,245,171,288,216,230,227,NTT DATA CORP
TSE:4689,4689,4689,380.4,2.88E+12,-45.65714286,-5.16081014,-42.70%,488,1.86750903,38.37889161,23.7296,1.07189172,154,56,195,303,177,332,Technology Services,1.08939212,2.83540301,68.46584132,15%,1.07E+12,7.25E+12,431,458,40,325,314,349,Z HOLDINGS CORPORATION
TSE:2413,2413,2413,4202,2.85E+12,-42.69739534,-1.91409897,-41.60%,485,13.7495272,47.53893216,71.8427,11.09228637,10,40,57,15,31,485,Technology Services,19.12719694,25.35225502,58.64933189,33%,1.18E+11,3.57E+11,16,30,68,107,55,23,M3 INC
TSE:4901,4901,4901,6781,2.72E+12,-22.61782495,-0.52809154,-22.20%,421,1.08234149,14.00358683,19.4427,1.09091639,264,271,219,299,263,211,Consumer Durables,4.96184215,7.92582987,40.28863596,24%,1.03E+12,4.25E+12,248,317,156,180,225,225,FUJIFILM HOLDINGS CORPORATION
TSE:8113,8113,8113,4527,2.70E+12,1.0942385,-4.21074905,5.50%,159,3.5413684,42.84449767,59.4321,4.95747662,75,46,77,50,62,463,Consumer Non-Durables,6.29603744,11.20138139,36.87694591,27%,3.03E+11,1.11E+12,175,198,180,149,176,139,UNICHARM CORP
TSE:8801,8801,8801,2832.5,2.69E+12,5.31697342,-2.97996232,8.60%,139,1.3148527,14.08549329,,0.97723719,225,265,,332,274,198,Finance,2.41359965,7.33641905,22.30018354,5%,4.50E+11,8.38E+12,370,340,329,436,369,410,MITSUI FUDOSAN
TSE:6971,6971,6971,7312,2.65E+12,7.27699531,-8.6,17.40%,85,1.43783963,16.72820515,672.675,0.91551442,206,229,4,353,198,307,Electronic Technology,4.1249043,5.5786434,28.12138123,12%,5.14E+11,4.11E+12,286,392,268,358,326,363,KYOCERA CORP
TSE:4452,4452,4452,5584,2.60E+12,-14.96878331,-8.15789474,-7.40%,282,1.91236552,28.15643451,59.9831,2.80164917,148,101,75,120,111,416,Consumer Non-Durables,5.67664206,9.93853775,36.29703078,31%,5.47E+11,1.76E+12,211,242,189,123,191,170,KAO CORP
TSE:8802,8802,8802,1902.5,2.54E+12,6.91205395,-4.73209815,12.20%,115,1.90385312,14.06960367,,1.27283078,151,266,,269,229,265,Finance,2.79674184,9.17291748,29.35098341,6%,3.75E+11,6.72E+12,350,270,255,433,327,364,MITSUBISHI ESTATE CO
TSE:4578,4578,4578,4601,2.50E+12,-2.70670332,2.06299911,-4.70%,258,1.68475138,24.36764036,18.7763,1.2552459,177,138,225,272,203,300,Health Technology,3.55908843,4.95235914,66.4876359,32%,1.00E+12,3.10E+12,320,407,47,109,221,220,OTSUKA HLDGS CO LTD
TSE:6301,6301,6301,2639,2.50E+12,-7.53328662,-5.75,-1.90%,232,0.8967345,9.52331577,42.6272,1.12780632,300,370,107,290,267,205,Producer Manufacturing,6.14039532,12.07211789,28.4085018,16%,7.82E+11,4.82E+12,185,178,267,306,234,230,KOMATSU
TSE:8591,8591,8591,2095,2.46E+12,-4.20667581,-6.15901456,2.10%,190,1.03683415,8.18298165,3.30869,0.77169996,272,405,339,390,352,107,Finance,2.18959049,9.73879315,36.33160282,6%,8.71E+11,1.46E+13,386,250,188,431,314,351,ORIX CORPORATION
TSE:6752,6752,6752,1041,2.43E+12,-25,-6.04693141,-20.20%,403,0.32970662,10.69696877,,0.76949455,451,344,,391,395,43,Consumer Durables,2.99591295,7.35608067,27.51917346,24%,1.95E+12,8.26E+12,344,338,277,192,288,314,PANASONIC HOLDINGS CORP
TSE:4523,4523,4523,8287,2.38E+12,0.61923264,38.39345357,-27.30%,447,3.13260189,72.46465791,38.0908,3.16398602,82,21,118,105,82,451,Health Technology,2.72174146,4.28145691,75.32544762,45%,5.70E+11,1.27E+12,355,424,28,44,213,205,EISAI CO
TSE:8750,8750,8750,2301,2.36E+12,-6.82324357,-6.17737003,-0.70%,220,0.34895674,6.8949824,,0.53866412,443,433,,458,445,14,Finance,0.5443665,8.4605197,,,,6.43E+13,445,298,,,372,415,DAI-ICHI LIFE HOLDINGS INC
TSE:6723,6723,6723,1202,2.35E+12,-10.43219076,-9.41974378,-1.10%,223,2.28279877,11.83716081,10.2581,2.01909025,117,311,306,170,226,270,Electronic Technology,8.35857044,16.53443136,48.17768506,15%,4.34E+11,2.84E+12,109,93,112,320,159,119,RENESAS ELECTRONICS CORP
TSE:8053,8053,8053,1877,2.35E+12,15.43665437,-3.96520849,20.20%,72,0.42729076,4.62684377,108.836,0.73937454,417,461,27,400,326,134,Process Industries,5.563253,16.62943663,18.30574604,10%,1.04E+12,1.01E+13,221,92,377,388,270,289,SUMITOMO CORP
TSE:6326,6326,6326,1970,2.35E+12,-18.12136326,-7.85781104,-11.10%,311,1.09882436,14.6649929,,1.43020095,260,252,,244,252,228,Producer Manufacturing,4.10607243,9.31459214,26.82939978,14%,6.32E+11,4.55E+12,288,266,286,340,295,324,KUBOTA CORP
TSE:8267,8267,8267,2755,2.33E+12,4.5540797,2.45444403,2.00%,191,0.27148441,118.6792477,,2.46935226,468,12,,138,206,299,Retail Trade,0.16773794,2.00802,36.08750153,23%,2.81E+12,1.23E+13,471,468,191,201,333,374,AEON CO LTD
TSE:6502,6502,6502,5352,2.32E+12,9.67213115,4.24620179,5.20%,162,0.71297314,11.66122491,45.4656,1.93728803,332,320,101,178,233,254,Producer Manufacturing,5.47576131,17.07643921,26.2295082,23%,8.93E+11,3.84E+12,226,86,291,197,200,187,TOSHIBA CORP
TSE:6201,6201,6201,7260,2.25E+12,-25.15463918,-1.2244898,-24.20%,431,0.84013303,13.03682976,77.2597,0.57851725,310,284,49,451,274,199,Producer Manufacturing,2.37554226,4.68704504,21.9449573,8%,6.07E+11,7.81E+12,372,414,337,416,385,422,TOYOTA INDUSTRIES CORP
TSE:4612,4612,4612,955,2.24E+12,-21.26957955,-9.04761905,-13.40%,346,2.23011835,34.48054998,215.31,2.38772394,120,67,11,145,86,444,Process Industries,2.8964279,6.13385514,37.00878564,15%,3.78E+11,2.54E+12,347,380,176,323,307,339,NIPPON PAINT HOLDINGS CO LTD
TSE:7269,7269,7269,4614,2.24E+12,-12.19790676,-7.70154031,-4.90%,261,0.6365096,16.96586984,,1.20922788,350,224,,277,284,186,Consumer Durables,3.18933718,7.21457897,23.74215215,20%,8.56E+11,4.39E+12,333,344,318,242,309,342,SUZUKI MOTOR CORP
TSE:8002,8002,8002,1300,2.23E+12,34.68711008,-6.91013247,44.70%,21,0.26777813,4.43958156,19.4218,1.07687489,471,464,220,302,364,84,Distribution Services,6.42287676,24.78325891,10.73592522,10%,8.95E+11,8.98E+12,170,34,443,399,262,267,MARUBENI CORP
TSE:3659,3659,3659,2505,2.17E+12,26.45128723,-2.18664584,29.30%,38,8.33115916,18.25822449,20.099,2.69699898,25,210,212,127,144,373,Technology Services,12.68744373,15.10786579,72.61346365,19%,1.97E+11,1.04E+12,48,115,33,255,113,66,NEXON CO LTD
TSE:2502,2502,2502,4239,2.15E+12,-18.49644299,-10.45627376,-9.00%,295,0.96933145,16.52187652,11.1808,1.23346582,288,231,304,276,275,197,Consumer Non-Durables,2.76392076,6.96245274,37.06294449,16%,7.85E+11,4.93E+12,353,354,175,312,299,333,ASAHI GROUP HLDGS
TSE:8725,8725,8725,3872,2.15E+12,4.33845325,-7.69964243,13.00%,108,0.44769344,10.55793945,18.6285,0.65842879,411,347,226,427,353,104,Finance,0.82268449,6.37256926,,,,2.52E+13,439,375,,,407,447,MS&AD INS GP HLDGS
TSE:2802,2802,2802,4034,2.15E+12,19.38443326,1.97168857,17.10%,86,1.9332099,27.23592932,42.4507,3.19483875,143,110,108,104,116,411,Consumer Non-Durables,5.48569403,11.816542,36.38463148,26%,4.04E+11,1.55E+12,225,184,186,161,189,166,AJINOMOTO CO INC
TSE:7832,7832,7832,9698,2.13E+12,11.21559633,-1.02061645,12.40%,112,2.40829105,19.68306747,26.6168,3.67107623,108,197,177,81,141,377,Consumer Durables,13.9811539,19.63055538,40.77557895,42%,3.56E+11,8.41E+11,38,68,153,51,78,34,BANDAI NAMCO HOLDINGS INC
TSE:4307,4307,4307,3545,2.09E+12,-14.88595438,-0.56100982,-14.40%,353,3.42655309,28.98441246,34.7583,6.13284699,76,95,132,35,85,447,Technology Services,9.82842853,22.41189384,34.90850306,27%,2.16E+11,7.91E+11,77,43,197,148,116,72,NOMURA RESEARCH INSTITUTE
TSE:8630,8630,8630,6012,2.07E+12,21.52819891,-1.21590536,23.00%,61,0.53541477,10.13136976,3.68545,1.02752168,383,359,337,318,349,108,Finance,1.50268842,10.2789285,,,,1.42E+13,411,230,,,321,361,SOMPO HOLDINGS INC
TSE:1605,1605,1605,1483,2.05E+12,51.01832994,-1.59256802,53.50%,12,1.72760886,5.90070972,5.62405,0.65818291,169,448,327,428,343,112,Energy Minerals,6.29509829,10.61545901,56.19193385,10%,6.49E+11,6.42E+12,176,220,77,393,217,212,INPEX CORPORATION
TSE:4911,4911,4911,5095,2.04E+12,-31.83946488,-0.09803922,-31.80%,465,2.00686725,27.34197198,74.6011,3.80114421,138,108,53,78,94,433,Consumer Non-Durables,6.12347634,13.99172634,72.13053091,58%,7.72E+11,1.34E+12,188,132,34,13,92,48,SHISEIDO COMPANY LIMITED
TSE:4507,4507,4507,6702,2.02E+12,-12.02415332,-3.49892009,-8.80%,294,6.16227641,17.70184642,53.1364,2.11605678,36,217,88,165,127,399,Health Technology,10.59968355,12.42102842,82.35525576,23%,2.72E+11,1.20E+12,73,168,17,204,116,69,SHIONOGI & CO
TSE:1925,1925,1925,2945,1.93E+12,-22.06933051,-4.81577246,-18.10%,387,0.4401656,8.75767049,,0.96800854,414,391,,334,380,68,Consumer Durables,4.06528496,11.47714956,19.25946495,15%,8.52E+11,5.80E+12,293,192,366,330,295,325,DAIWA HOUSE INDUSTRY CO
TSE:5401,5401,5401,2089.5,1.92E+12,4.55341506,-6.90576966,12.30%,113,0.30145084,2.99909977,28.0677,0.56246333,460,469,166,453,387,54,Non-Energy Minerals,8.41800243,21.06895646,18.16092333,13%,1.21E+12,9.02E+12,106,54,379,345,221,221,NIPPON STEEL CORPORATION
TSE:7309,7309,7309,20945,1.90E+12,-29.87947774,-13.45041322,-19.00%,396,3.65048458,15.40274039,47.5441,3.21821246,71,246,97,102,129,396,Consumer Durables,17.66801215,19.89824007,42.63569863,30%,2.40E+11,8.03E+11,20,65,140,131,89,44,SHIMANO INC
TSE:9735,9735,9735,8566,1.87E+12,6.34388579,1.45682814,4.80%,166,1.78959965,20.06784543,27.0919,1.6698086,164,190,172,214,185,323,Commercial Services,5.04468501,8.50797831,30.39854332,17%,3.22E+11,1.86E+12,244,295,242,288,267,283,SECOM CO
TSE:4684,4684,4684,20970,1.86E+12,-3.23027227,6.01617796,-8.70%,293,20.72825612,40.42829609,83.3956,6.31025428,4,47,42,33,32,484,Technology Services,14.85829868,16.29256815,78.10756455,22%,69422000000,3.21E+11,32,97,21,215,91,47,OBIC CO LTD
TSE:2503,2503,2503,2162,1.80E+12,6.26689604,-5.1754386,12.10%,116,1.00723628,20.0329848,19.5428,2.0518518,277,191,218,167,213,288,Consumer Non-Durables,3.6176713,9.85904857,43.16817402,30%,7.85E+11,2.62E+12,315,247,137,132,208,200,KIRIN HOLDINGS COMPANY LIMITED
TSE:4151,4151,4151,3345,1.80E+12,-10.8,5.02354788,-15.10%,359,5.12723384,28.99526238,30.172,2.44915323,49,94,155,140,110,417,Health Technology,7.08002321,8.3837598,73.07595249,27%,2.54E+11,9.40E+11,148,299,32,150,157,116,KYOWA KIRIN CO LTD
TSE:7201,7201,7201,456.3,1.79E+12,-25.01232539,-13.80808788,-13.00%,341,0.21427384,12.18857968,,0.3941296,486,304,,485,425,25,Consumer Durables,0.90405068,3.29561644,15.92806766,8%,1.30E+12,1.69E+13,436,452,402,417,427,465,NISSAN MOTOR CO
TSE:7270,7270,7270,2288,1.75E+12,-1.71821306,-9.77917981,8.90%,137,0.64549153,22.50931067,29.0272,0.93696502,348,160,161,340,252,227,Consumer Durables,2.20728543,4.18966422,17.56014201,13%,4.73E+11,3.74E+12,385,428,384,356,388,429,SUBARU CORPORATION
TSE:6920,6920,6920,19430,1.75E+12,-24.68992248,12.02075526,-32.80%,468,18.55472096,67.48059842,,23.03248784,5,24,,3,11,497,Electronic Technology,16.7146289,38.84900246,52.87500551,27%,47787805000,1.79E+11,28,11,94,153,72,31,LASERTEC CORP
TSE:6762,6762,6762,4545,1.72E+12,14.77272727,-10.17786561,27.80%,41,0.91364635,9.53576558,,1.33355101,297,369,,260,309,159,Electronic Technology,6.28906337,14.68407402,30.1032837,17%,5.64E+11,3.29E+12,178,123,245,292,210,203,TDK CORP
TSE:4528,4528,4528,3429,1.67E+12,39.95918367,1.06100796,38.50%,28,4.73359193,19.78662608,53.1065,2.56439635,53,196,89,131,117,409,Health Technology,11.40233302,13.05391196,74.35149191,35%,2.65E+11,7.64E+11,64,152,30,93,85,41,ONO PHARMACEUTICAL CO
TSE:1928,1928,1928,2423,1.63E+12,1.12687813,-3.46613546,4.80%,169,0.63917781,8.87398756,,1.1187215,349,386,,293,343,114,Finance,6.43708942,12.31992893,20.7129225,17%,5.29E+11,3.05E+12,169,172,354,285,245,244,SEKISUI HOUSE
TSE:7011,7011,7011,4838,1.62E+12,56.36716225,-6.33107454,66.90%,7,0.42563489,13.68291714,11.6313,1.04164399,418,273,295,312,325,136,Electronic Technology,2.32879593,8.06387006,16.82603078,12%,6.34E+11,5.36E+12,375,312,393,365,361,401,MITSUBISHI HEAVY INDUSTRIES
TSE:6869,6869,6869,7748,1.62E+12,-45.03015254,-4.35748673,-42.50%,487,4.53808509,39.18137232,60.8582,4.73376585,58,53,73,57,60,465,Health Technology,9.23998452,12.49586591,51.73790512,39%,1.91E+11,4.88E+11,90,167,98,65,105,58,SYSMEX CORP
