Momentum Rank,Value Rank,Profitability Rank,Ticker_s,Ticker,Name,MKT CAP (US$M),Sector,1Y Return,P/S,P/E,P/FCF,P/B,ROA,ROE,Gross margin,GPOA
373,105,449,BAC,BAC,Bank of America Corporation," 280,832 ",Finance,-25.79617834,3,10.7,24.1,1.1,1%,10%,0%,
36,313,68,ABBV,ABBV,AbbVie Inc.," 260,016 ",Health Technology,35.65169265,4.5,20.2,18.9,16.4,9%,92%,71%,27%
139,134,75,PFE,PFE,"Pfizer, Inc."," 252,275 ",Health Technology,4.40134711,3,8.4,15.9,3.1,16%,37%,59%,24%
122,333,41,MRK,MRK,"Merck & Company, Inc."," 242,359 ",Health Technology,17.95093083,4.8,14.2,63.8,6.2,17%,43%,71%,33%
107,421,95,KO,KO,Coca-Cola Company (The)," 242,006 ",Consumer Non-Durables,2.49084249,6.2,25,64.2,10.4,10%,42%,59%,25%
128,408,60,PEP,PEP,"PepsiCo, Inc."," 238,426 ",Consumer Non-Durables,7.23093128,3,24.5,200.5,14.8,10%,56%,53%,45%
121,341,185,COST,COST,Costco Wholesale Corporation," 211,644 ",Retail Trade,1.79023778,0.9,35.4,118.1,10,9%,31%,12%,43%
383,443,160,ORCL,ORCL,Oracle Corporation," 195,974 ",Technology Services,-24.71782127,4.6,32.9,127.5,,5%,0%,74%,25%
255,353,192,TMO,TMO,Thermo Fisher Scientific Inc," 194,617 ",Health Technology,-18.69117575,4.9,25.9,41.4,4.7,9%,19%,46%,22%
472,152,372,BABA,BABA,Alibaba Group Holding Limited," 187,747 ",Retail Trade,-59.22033898,1.5,39.7,21.3,1.3,2%,3%,35%,18%
178,333,89,AVGO,AVGO,Broadcom Inc.," 187,377 ",Electronic Technology,-11.71724707,6.7,18.8,32.1,7.1,14%,45%,60%,21%
123,443,111,MCD,MCD,McDonald's Corporation," 187,277 ",Consumer Services,5.98742557,8.1,30.8,63.3,,12%,0%,55%,25%
431,335,444,DIS,DIS,Walt Disney Company (The)," 186,025 ",Consumer Services,-40.04700353,2.7,57.3,161.8,2,2%,4%,29%,8%
330,295,98,ACN,ACN,Accenture plc," 179,206 ",Technology Services,-22.04453441,2.7,24.4,29.1,7.5,15%,33%,32%,42%
244,344,187,DHR,DHR,Danaher Corporation," 178,052 ",Electronic Technology,-22.22893482,6.1,26.8,38.3,4.2,8%,15%,61%,22%
346,224,71,CSCO,CSCO,"Cisco Systems, Inc."," 175,859 ",Electronic Technology,-23.62598144,3.4,14.8,29.2,4.3,12%,29%,62%,34%
80,241,402,TMUS,TMUS,"T-Mobile US, Inc."," 171,126 ",Communications,12.22039474,2.1,99.3,20.9,2.5,1%,2%,39%,14%
253,51,462,WFC,WFC,Wells Fargo & Company," 170,042 ",Finance,-10.25025025,2.1,11.3,8.5,1,1%,9%,0%,
283,316,110,ABT,ABT,Abbott Laboratories," 166,471 ",Health Technology,-23.0345721,4,21.5,46.2,4.7,12%,24%,59%,31%
465,368,341,CRM,CRM,"Salesforce, Inc."," 160,170 ",Technology Services,-44.66784123,5.8,294.4,37.2,2.7,1%,1%,64%,18%
12,144,154,COP,COP,ConocoPhillips," 158,480 ",Energy Minerals,64.56047588,3.5,10,10.3,3.5,18%,34%,38%,16%
63,223,177,BMY,BMY,Bristol-Myers Squibb Company," 154,187 ",Health Technology,24.30710966,3.4,23.4,12.9,4.3,6%,19%,58%,27%
342,60,231,VZ,VZ,Verizon Communications Inc.," 148,460 ",Communications,-34.25702064,1.2,7.4,24.5,1.9,6%,26%,45%,17%
282,399,6,TXN,TXN,Texas Instruments Incorporated," 145,937 ",Electronic Technology,-19.99799644,7.8,16.8,73.3,10.7,38%,68%,69%,49%
222,180,134,UPS,UPS,"United Parcel Service, Inc."," 144,004 ",Transportation,-15.36731251,1.5,12.9,25.5,9.8,16%,81%,22%,25%
221,348,379,LIN,LIN,Linde plc," 143,104 ",Process Industries,-7.34325288,4.8,40.9,40.6,3.3,4%,8%,28%,11%
477,428,13,ADBE,ADBE,Adobe Inc.," 142,431 ",Technology Services,-51.52373418,9.2,29.8,43.1,9.7,18%,33%,87%,51%
147,401,387,NEE,NEE,"NextEra Energy, Inc."," 142,327 ",Utilities,-14.91509322,6.6,54.1,,3.7,2%,7%,46%,6%
420,376,64,NKE,NKE,"Nike, Inc."," 138,475 ",Consumer Non-Durables,-44.14641843,3,24.7,73.8,8.9,14%,37%,45%,53%
251,62,417,MS,MS,Morgan Stanley," 136,007 ",Finance,-21.06416899,2.3,11.1,7.6,1.4,1%,12%,0%,
112,358,48,AMGN,AMGN,Amgen Inc.," 134,770 ",Health Technology,19.88579586,5.5,21,29.5,20.6,11%,123%,76%,33%
433,44,219,CMCSA,CMCSA,Comcast Corporation," 134,516 ",Consumer Services,-44.318597,1.2,9.9,15.2,1.4,5%,15%,56%,24%
165,278,14,PM,PM,Philip Morris International Inc," 134,105 ",Consumer Non-Durables,-10.46367212,4.2,15.2,40.7,,21%,0%,67%,52%
217,323,305,SCHW,SCHW,Charles Schwab Corporation (The)," 133,403 ",Finance,-13.71779141,6.8,20.7,57.4,2.7,1%,14%,89%,3%
184,249,446,RTX,RTX,Raytheon Technologies Corporation," 130,731 ",Electronic Technology,-3.05485602,2,29.3,65.6,1.8,3%,6%,20%,8%
188,265,16,QCOM,QCOM,QUALCOMM Incorporated," 129,976 ",Electronic Technology,-12.31818182,3.8,9.9,27.3,12.7,30%,106%,58%,41%
485,358,145,NFLX,NFLX,"Netflix, Inc."," 128,865 ",Technology Services,-53.9553817,4.1,24,,7.5,11%,28%,40%,26%
318,357,206,HON,HON,Honeywell International Inc.," 123,158 ",Producer Manufacturing,-18.24970933,3.6,24.2,58,6.6,8%,29%,34%,21%
85,121,256,ELV,ELV,"Elevance Health, Inc."," 122,050 ",Health Services,21.67619048,0.9,19.7,18.5,3.4,6%,17%,0%,
273,21,293,T,T,AT&T Inc.," 121,855 ",Communications,-13.26290789,0.7,6.2,17.1,0.7,4%,14%,41%,16%
66,41,358,CVS,CVS,CVS Health Corporation," 121,725 ",Retail Trade,8.01491146,0.4,14.8,10.5,1.6,4%,11%,17%,23%
82,234,203,LMT,LMT,Lockheed Martin Corporation," 119,141 ",Electronic Technology,22.32866023,1.8,20.4,20.7,11,11%,54%,13%,20%
354,440,109,INTU,INTU,Intuit Inc.," 117,590 ",Technology Services,-26.81052632,9,55.4,43.6,6.9,10%,16%,78%,36%
166,309,303,IBM,IBM,International Business Machines Corporation," 117,323 ",Technology Services,1.86322183,2,93.5,24.9,6.1,1%,6%,54%,24%
198,363,137,UNP,UNP,Union Pacific Corporation," 117,138 ",Transportation,-16.98039216,5.6,16.6,50.1,8.4,11%,55%,46%,16%
132,240,233,DE,DE,Deere & Company," 115,615 ",Producer Manufacturing,11.37731515,2.6,18.3,26.2,6.1,7%,35%,30%,16%
269,101,72,LOW,LOW,"Lowe's Companies, Inc."," 113,197 ",Retail Trade,-18.91423236,1.3,14.1,26.2,,17%,0%,31%,65%
314,34,425,GS,GS,"Goldman Sachs Group, Inc. (The)"," 111,655 ",Finance,-20.08357915,1.7,8.3,,1,1%,12%,0%,
460,84,141,INTC,INTC,Intel Corporation," 110,739 ",Electronic Technology,-50.89667729,1.4,5.6,52.2,1.1,12%,20%,50%,26%
374,260,231,MDT,MDT,Medtronic plc.," 110,665 ",Health Technology,-31.72051829,3.5,21.3,54.4,2.1,6%,10%,62%,22%
264,159,266,AXP,AXP,American Express Company," 104,642 ",Finance,-22.0180421,2.6,14.3,11.2,4.9,4%,31%,0%,13%
394,384,87,BX,BX,Blackstone Inc.," 102,716 ",Finance,-35.38798971,4.8,23.7,,10.7,7%,31%,100%,31%
312,299,225,SBUX,SBUX,Starbucks Corporation," 101,671 ",Consumer Services,-22.22417274,3.5,24.4,34.4,,14%,0%,21%,23%
235,235,207,CAT,CAT,"Caterpillar, Inc."," 100,419 ",Producer Manufacturing,-5.64484127,1.9,14.4,47.4,5.9,8%,41%,29%,18%
332,409,223,SPGI,SPGI,S&P Global Inc.," 98,696 ",Commercial Services,-32.82335316,8.5,21.8,40.5,34.6,9%,18%,64%,9%
488,371,333,PYPL,PYPL,"PayPal Holdings, Inc."," 97,075 ",Commercial Services,-67.5418584,3.9,48.9,41.2,4.6,3%,10%,43%,16%
105,453,194,ADP,ADP,"Automatic Data Processing, Inc."," 96,655 ",Technology Services,9.22658157,5.9,32.8,69.9,29.6,5%,66%,47%,12%
421,385,286,AMD,AMD,"Advanced Micro Devices, Inc."," 94,954 ",Electronic Technology,-49.51072961,4.3,24.3,55.8,9.3,8%,10%,44%,12%
26,69,362,CI,CI,Cigna Corporation," 91,944 ",Health Services,41.2156146,0.6,17.6,16.7,2,4%,12%,0%,
393,290,235,BLK,BLK,"BlackRock, Inc."," 90,487 ",Finance,-33.85312261,4.4,15.8,77.3,2.3,4%,16%,80%,13%
414,13,472,C,C,"Citigroup, Inc."," 85,949 ",Finance,-37.88941903,1.1,5.9,9.8,0.5,1%,8%,0%,
179,189,122,GILD,GILD,"Gilead Sciences, Inc."," 84,966 ",Health Technology,1.04337457,3.1,20.2,12.7,3.9,6%,21%,77%,33%
409,24,495,BA,BA,Boeing Company (The)," 83,917 ",Electronic Technology,-34.737231,1.3,,,,-4%,0%,8%,5%
149,57,330,CB,CB,Chubb Limited," 82,605 ",Finance,6.97133586,2.1,11.6,7.7,1.4,4%,13%,0%,
308,412,183,SYK,SYK,Stryker Corporation," 82,591 ",Health Technology,-20.18499561,4.8,39.5,57.2,5.4,6%,14%,61%,30%
43,264,190,NOC,NOC,Northrop Grumman Corporation," 80,861 ",Electronic Technology,30.665,2.3,14.3,53.3,6.2,14%,46%,21%,17%
230,396,53,MO,MO,"Altria Group, Inc."," 80,101 ",Consumer Non-Durables,-7.71784232,3.8,44.8,48.9,,4%,408%,87%,38%
429,149,468,GE,GE,General Electric Company," 79,851 ",Producer Manufacturing,-31.14599092,1,,68.8,1.9,-2%,-12%,29%,11%
33,197,120,EOG,EOG,"EOG Resources, Inc."," 79,116 ",Energy Minerals,46.78699576,3.9,13.5,23,3.5,15%,26%,53%,23%
164,275,284,MDLZ,MDLZ,"Mondelez International, Inc."," 78,602 ",Consumer Non-Durables,-4.68672096,2.8,20.6,69.4,2.8,6%,14%,36%,16%
160,332,94,TJX,TJX,"TJX Companies, Inc. (The)"," 78,499 ",Retail Trade,5.80594679,1.6,23.3,97.5,12.9,12%,57%,28%,51%
445,463,139,ISRG,ISRG,"Intuitive Surgical, Inc."," 78,025 ",Health Technology,-36.1551049,13.6,56.1,75.7,6.4,11%,12%,72%,30%
45,200,12,REGN,REGN,"Regeneron Pharmaceuticals, Inc."," 77,822 ",Health Technology,26.47215136,4.9,14.1,10.9,4.1,23%,32%,83%,49%
400,466,121,ABNB,ABNB,"Airbnb, Inc."," 77,811 ",Consumer Services,-29.05473343,12,64,46.7,15.5,7%,29%,72%,25%
10,346,17,VRTX,VRTX,Vertex Pharmaceuticals Incorporated," 76,938 ",Health Technology,61.68872011,9.9,23.5,23.7,7.3,23%,30%,88%,43%
195,327,84,MMC,MMC,"Marsh & McLennan Companies, Inc."," 76,847 ",Finance,-7.14414144,4,23.2,36.7,7.1,10%,35%,0%,
270,364,332,ADI,ADI,"Analog Devices, Inc."," 75,397 ",Electronic Technology,-17.02139703,7.8,39.4,54.3,2,5%,8%,50%,8%
418,327,77,PDD,PDD,Pinduoduo Inc.," 73,906 ",Retail Trade,-40.27749646,5.5,26.2,21.1,6,11%,26%,73%,33%
423,163,150,TGT,TGT,Target Corporation," 73,269 ",Retail Trade,-36.73396391,0.7,17.5,30.4,5.7,8%,33%,24%,55%
439,486,227,NOW,NOW,"ServiceNow, Inc."," 72,855 ",Technology Services,-46.96029412,12.3,393.5,73.3,19.3,2%,5%,77%,41%
326,436,140,BKNG,BKNG,Booking Holdings Inc. Common Stock," 72,376 ",Consumer Services,-24.06781779,6.7,47.3,39.4,11.8,6%,35%,0%,
310,433,27,EL,EL,"Estee Lauder Companies, Inc. (The)"," 72,060 ",Consumer Non-Durables,-34.05013236,4.1,30.8,80.2,12.8,11%,41%,76%,61%
32,120,471,PGR,PGR,Progressive Corporation (The)," 71,609 ",Finance,29.28940978,1.5,,16.1,3.9,1%,5%,0%,
88,205,338,SLB,SLB,Schlumberger N.V.," 71,299 ",Industrial Services,46.75400291,2.8,22,15.2,4.3,7%,19%,20%,9%
411,225,37,AMAT,AMAT,"Applied Materials, Inc."," 70,907 ",Producer Manufacturing,-37.39936199,3.1,10.5,31.9,5.7,26%,55%,47%,42%
56,203,428,SO,SO,Southern Company (The)," 70,192 ",Utilities,1.01801096,2.9,22.4,,2.5,2%,11%,26%,5%
356,467,33,ZTS,ZTS,Zoetis Inc.," 68,915 ",Health Technology,-28.91153178,8.9,32.8,92.2,15,15%,47%,68%,39%
144,122,443,DUK,DUK,Duke Energy Corporation (Holding Company)," 68,105 ",Utilities,-13.60484422,2.7,17.6,,1.4,2%,8%,27%,4%
424,213,123,MMM,MMM,3M Company," 66,535 ",Producer Manufacturing,-36.11703582,1.9,15.8,42.8,4.3,9%,29%,44%,36%
93,177,320,GD,GD,General Dynamics Corporation," 66,532 ",Electronic Technology,16.65704943,1.7,20.1,28.4,3.7,7%,20%,17%,13%
3,126,161,OXY,OXY,Occidental Petroleum Corporation," 66,378 ",Energy Minerals,115.2219873,2.5,6.8,4.1,6.1,14%,48%,44%,10%
127,387,252,WM,WM,"Waste Management, Inc."," 66,063 ",Industrial Services,-1.38820336,3.8,31.1,48.2,9.3,7%,29%,27%,16%
97,236,200,HUM,HUM,Humana Inc.," 64,611 ",Health Services,12.61746151,0.8,20.6,101.4,4.1,7%,21%,0%,
337,104,323,PNC,PNC,"PNC Financial Services Group, Inc. (The)"," 64,131 ",Finance,-26.49022189,3.2,11.2,18,1.2,1%,25%,0%,
155,285,316,BDX,BDX,"Becton, Dickinson and Company"," 63,770 ",Health Technology,-7.50244714,3.2,37.7,30.3,2.7,3%,7%,46%,18%
49,184,153,PXD,PXD,Pioneer Natural Resources Company," 63,092 ",Energy Minerals,38.55547985,3.5,10.5,36.3,2.7,17%,27%,44%,18%
317,48,465,BAM,BAM,Brookfield Asset Management Inc.," 62,798 ",Finance,-35.91891439,0.8,16.8,,1.4,1%,9%,16%,6%
199,246,360,FISV,FISV,"Fiserv, Inc."," 61,873 ",Finance,-11.85421412,3.9,30.9,23.3,2,3%,6%,51%,10%
258,374,327,CME,CME,CME Group Inc.," 61,101 ",Finance,-20.97898847,13,21.1,954.6,2.2,2%,11%,80%,2%
369,64,169,MU,MU,"Micron Technology, Inc."," 60,936 ",Electronic Technology,-17.51287712,2,6.9,24.2,1.2,14%,19%,45%,21%
248,413,59,ITW,ITW,Illinois Tool Works Inc.," 60,568 ",Producer Manufacturing,-12.47035662,4.1,22.4,97.9,16.3,17%,77%,40%,37%
379,71,404,USB,USB,U.S. Bancorp," 60,189 ",Finance,-35.25651271,2.6,9.5,15.8,1.2,1%,13%,0%,
159,416,21,CL,CL,Colgate-Palmolive Company," 59,888 ",Consumer Non-Durables,-5.24990057,3.4,30.5,58.2,97,12%,615%,58%,66%
242,442,143,AON,AON,Aon plc," 59,084 ",Finance,-10.87779581,5.1,39.3,42.5,55.4,4%,58%,0%,
216,381,276,BSX,BSX,Boston Scientific Corporation," 58,081 ",Distribution Services,-8.41986456,4.9,69.8,48.3,3.5,3%,5%,62%,23%
274,280,208,CSX,CSX,CSX Corporation," 57,900 ",Transportation,-22.04924993,4.9,14.4,34.3,4.4,10%,31%,39%,13%
175,315,176,ATVI,ATVI,"Activision Blizzard, Inc"," 56,882 ",Technology Services,-6.44621719,6.5,30.6,26.5,3.3,8%,11%,72%,26%
457,490,400,SNOW,SNOW,Snowflake Inc.," 56,672 ",Technology Services,-46.9760479,42.9,,693.6,10.8,-10%,-13%,64%,11%
315,63,283,HCA,HCA,"HCA Healthcare, Inc."," 56,446 ",Health Services,-22.963021,1.2,11.8,17.8,,11%,0%,15%,19%
13,65,314,MPC,MPC,Marathon Petroleum Corporation," 55,537 ",Energy Minerals,66.41266995,0.6,7.4,28.9,2.4,9%,30%,10%,7%
257,312,275,ETN,ETN,"Eaton Corporation, PLC"," 55,495 ",Producer Manufacturing,-14.02566951,2.8,23.5,188.1,3.3,6%,15%,33%,18%
402,241,453,UBER,UBER,"Uber Technologies, Inc."," 55,477 ",Transportation,-39.0472047,3,,,3.8,-30%,-97%,30%,18%
353,89,437,TFC,TFC,Truist Financial Corporation," 55,059 ",Finance,-35.01878522,2.4,9.3,32.4,0.9,1%,10%,0%,
129,79,353,EPD,EPD,Enterprise Products Partners L.P.," 54,503 ",Industrial Services,1.27556185,1.3,11.3,20.1,2.2,7%,19%,13%,10%
134,230,376,D,D,"Dominion Energy, Inc."," 54,432 ",Utilities,-14.64113586,3.7,24.3,,2,2%,6%,54%,8%
167,33,478,MET,MET,"MetLife, Inc."," 54,286 ",Finance,2.67008599,0.8,16.5,5,0.8,0%,7%,0%,
84,261,130,DG,DG,Dollar General Corporation," 53,995 ",Retail Trade,10.93243118,1.6,23.6,34.3,8.7,9%,38%,31%,38%
372,383,100,SHW,SHW,Sherwin-Williams Company (The)," 53,863 ",Process Industries,-31.16035642,2.7,30.2,55.8,21.6,8%,69%,40%,38%
276,322,298,APD,APD,"Air Products and Chemicals, Inc."," 53,518 ",Process Industries,-17.77194656,5.1,23.8,,3.9,8%,17%,27%,11%
117,262,312,KDP,KDP,Keurig Dr Pepper Inc.," 53,274 ",Consumer Non-Durables,8.19672131,4.2,24.5,35.2,2.1,4%,9%,50%,12%
6,126,411,MCK,MCK,McKesson Corporation," 53,272 ",Distribution Services,79.9223301,0.2,38.2,11.4,,2%,0%,5%,20%
470,96,235,CHTR,CHTR,"Charter Communications, Inc."," 53,080 ",Consumer Services,-55.21882327,1.2,10.5,14.6,4,4%,38%,42%,14%
344,450,34,EW,EW,Edwards Lifesciences Corporation," 52,577 ",Health Technology,-26.59684958,10.1,36.2,58.2,9,18%,26%,78%,48%
366,229,319,ICE,ICE,Intercontinental Exchange Inc.," 51,965 ",Finance,-28.56046065,5,15.1,35.2,2.2,2%,15%,69%,3%
410,4,394,GM,GM,General Motors Company," 51,032 ",Consumer Durables,-39.65517241,0.4,6.4,,0.8,4%,15%,13%,10%
352,243,31,LRCX,LRCX,Lam Research Corporation," 50,588 ",Producer Manufacturing,-32.22668796,2.9,10.2,36.4,7.8,28%,73%,46%,42%
29,45,281,VLO,VLO,Valero Energy Corporation," 50,326 ",Energy Minerals,57.41219963,0.4,7.2,11.8,2.8,12%,36%,8%,5%
28,50,364,ADM,ADM,Archer-Daniels-Midland Company," 50,277 ",Process Industries,38.4532263,0.6,13.9,8.3,2.2,6%,16%,7%,12%
483,96,4,MRNA,MRNA,"Moderna, Inc."," 50,199 ",Health Technology,-61.94656149,2.8,3.6,8.2,3.4,67%,114%,81%,60%
152,406,254,MAR,MAR,Marriott International," 49,815 ",Consumer Services,-0.03907522,3.5,27.9,54.7,34,7%,136%,20%,10%
449,485,260,TEAM,TEAM,Atlassian Corporation," 49,484 ",Technology Services,-52.67238857,17.4,,59.4,146.3,-19%,-195%,83%,69%
298,222,174,EMR,EMR,Emerson Electric Company," 49,173 ",Producer Manufacturing,-14.08203327,2.7,15.2,31.8,4.8,10%,32%,39%,19%
291,8,343,F,F,Ford Motor Company," 49,008 ",Consumer Durables,-24.56683168,0.4,4.1,9.2,1,5%,30%,12%,10%
290,286,260,NSC,NSC,Norfolk Southern Corporation," 48,863 ",Transportation,-26.2243342,4.6,16.3,42,3.6,8%,22%,39%,11%
7,179,69,DVN,DVN,Devon Energy Corporation," 48,645 ",Energy Minerals,82.98029557,3.5,9.1,18.6,5.1,24%,56%,47%,22%
142,427,318,PANW,PANW,"Palo Alto Networks, Inc."," 48,482 ",Technology Services,-4.82996195,8.5,,27.4,225.6,-2%,-63%,64%,31%
146,39,339,PSX,PSX,Phillips 66," 48,317 ",Energy Minerals,21.48040639,0.4,8.4,12.4,2.2,9%,26%,6%,5%
412,215,439,FIS,FIS,"Fidelity National Information Services, Inc."," 47,319 ",Commercial Services,-36.96954972,3.4,55.6,19.2,1,1%,2%,38%,7%
180,212,328,LHX,LHX,"L3Harris Technologies, Inc."," 47,302 ",Electronic Technology,1.8583378,2.7,24.6,28.4,2.4,5%,10%,30%,16%
113,239,35,ORLY,ORLY,"O'Reilly Automotive, Inc."," 47,113 ",Retail Trade,14.83979504,3.8,23.1,17.8,,18%,0%,52%,56%
52,414,56,HSY,HSY,The Hershey Company," 46,781 ",Consumer Non-Durables,25.50593929,5.2,28.6,44.6,16.8,17%,63%,44%,37%
404,338,82,VMW,VMW,"Vmware, Inc."," 46,539 ",Technology Services,-32.93369219,3.5,28.9,,,5%,32%,81%,37%
141,429,102,MNST,MNST,Monster Beverage Corporation," 46,150 ",Consumer Non-Durables,3.01070211,8.4,38,46.3,7,16%,19%,52%,38%
325,100,226,FCX,FCX,"Freeport-McMoRan, Inc."," 45,780 ",Non-Energy Minerals,-15.79915878,1.9,11,11.7,3,8%,27%,37%,17%
46,200,212,GIS,GIS,"General Mills, Inc."," 45,726 ",Consumer Non-Durables,22.59707193,2.5,16.1,28.5,4.4,9%,29%,31%,20%
154,433,91,SNPS,SNPS,"Synopsys, Inc."," 45,338 ",Technology Services,-6.08172315,10.9,44,35.4,8.4,12%,19%,77%,35%
17,181,353,CTVA,CTVA,"Corteva, Inc."," 45,186 ",Process Industries,43.46338125,2.9,26.2,20,1.8,4%,7%,36%,14%
60,207,47,AZO,AZO,"AutoZone, Inc."," 44,842 ",Retail Trade,29.16250351,2.9,19.2,,,16%,0%,52%,55%
37,259,463,SRE,SRE,DBA Sempra," 44,720 ",Utilities,8.37078224,3.4,39.3,,1.8,2%,4%,27%,5%
362,431,51,MCO,MCO,Moody's Corporation," 44,413 ",Commercial Services,-34.73993583,7.2,25.7,51.9,16.2,13%,77%,67%,30%
70,133,410,AEP,AEP,"American Electric Power Company, Inc."," 43,991 ",Utilities,0.99068286,2.5,16.5,,1.9,3%,11%,27%,5%
8,119,416,LNG,LNG,"Cheniere Energy, Inc."," 43,909 ",Industrial Services,68.23619485,2.5,,14,,-6%,0%,34%,14%
416,462,43,ADSK,ADSK,"Autodesk, Inc."," 43,472 ",Technology Services,-32.47611065,10,78,37.6,50.8,7%,54%,90%,48%
135,471,11,CDNS,CDNS,"Cadence Design Systems, Inc."," 43,365 ",Technology Services,-1.76809976,14.3,54.7,50.2,15.5,18%,30%,89%,61%
203,118,433,KHC,KHC,The Kraft Heinz Company," 43,148 ",Consumer Non-Durables,-4.32065217,1.7,28.8,17.4,0.9,2%,3%,31%,9%
190,449,196,CMG,CMG,"Chipotle Mexican Grill, Inc."," 43,030 ",Consumer Services,-14.69084224,5.8,57.5,47.6,18.8,12%,35%,19%,22%
100,308,361,STZ,STZ,"Constellation Brands, Inc."," 42,922 ",Consumer Non-Durables,3.23719565,4.8,,37.1,3.6,0%,1%,52%,19%
211,375,172,APH,APH,Amphenol Corporation," 42,560 ",Electronic Technology,-8.6906585,4,24.1,65.7,6.6,12%,29%,32%,23%
451,483,222,MELI,MELI,"MercadoLibre, Inc."," 42,531 ",Retail Trade,-47.39627434,5.8,173.5,171.3,27,3%,29%,45%,25%
339,475,15,FTNT,FTNT,"Fortinet, Inc."," 42,383 ",Electronic Technology,-19.49736401,12.9,63.3,49.9,53.5,12%,205%,75%,48%
50,73,435,CNC,CNC,Centene Corporation," 42,211 ",Health Services,8.73085984,0.4,23.6,14.8,1.6,2%,7%,0%,
99,351,324,RSG,RSG,"Republic Services, Inc."," 42,190 ",Industrial Services,2.16509831,3.7,30.3,48.5,4.7,5%,15%,29%,12%
25,344,255,HES,HES,Hess Corporation," 41,978 ",Energy Minerals,52.1661055,5.2,27.6,27.5,6.4,7%,23%,39%,12%
384,390,238,ECL,ECL,Ecolab Inc.," 41,583 ",Process Industries,-34.0132055,3.2,37,79.6,5.6,6%,16%,39%,25%
150,37,356,TRV,TRV,"The Travelers Companies, Inc."," 41,299 ",Finance,11.42161667,1.2,12.5,6.1,1.4,3%,14%,0%,
153,294,9,KLAC,KLAC,KLA Corporation," 41,214 ",Electronic Technology,-11.08969652,4.6,12.6,20.4,28,29%,139%,61%,44%
176,418,55,CTAS,CTAS,Cintas Corporation," 40,612 ",Consumer Services,-5.62110629,5.3,32.9,45.6,12.1,16%,38%,46%,44%
161,343,152,SYY,SYY,Sysco Corporation," 40,566 ",Transportation,0.18773467,0.6,29.2,136.4,28.4,6%,93%,18%,55%
220,10,296,AIG,AIG,"American International Group, Inc. New"," 40,492 ",Finance,-10.29312668,0.9,3.4,9.5,0.7,3%,23%,0%,
162,458,41,PAYX,PAYX,"Paychex, Inc."," 40,423 ",Technology Services,-7.8919274,8.7,28,120.5,13,16%,47%,71%,36%
