Momentum Rank,Value Rank,Profitability Rank,Ticker_s,Ticker,Name,MKT CAP (US$M),Sector,1Y Return,P/S,P/E,P/FCF,P/B,ROA,ROE,Gross margin,GPOA
226,321,105,AUB,AUB,AUB GROUP LIMITED," 1,236 ",Finance,-16%,4.4,18.7,26.3,2.1,6%,12%,86%,18%
272,385,413,WEB,WEB,WEBJET LIMITED," 1,230 ",Consumer Services,-20%,14.2,,37.1,2.6,-7%,-11%,-26%,-3%
428,384,231,DHG,DHG,DOMAIN HOLDINGS AUSTRALIA LIMITED.," 1,226 ",Technology Services,-46%,5.2,53.1,138.9,1.8,3%,3%,46%,11%
281,205,158,NIC,NIC,NICKEL INDUSTRIES LIMITED," 1,222 ",Non-Energy Minerals,-34%,2.1,8.3,26.7,1.3,9%,14%,33%,9%
103,216,109,ELD,ELD,ELDERS LIMITED," 1,221 ",Process Industries,8%,0.8,11.3,22,2.5,9%,22%,20%,24%
364,439,140,HUB,HUB,HUB24 LIMITED," 1,206 ",Technology Services,-26%,9.6,124.9,56.3,4.3,4%,5%,78%,27%
30,367,159,SYA,SYA,SAYONA MINING LIMITED," 1,178 ",Process Industries,45%,,24.4,,3.5,16%,21%,,0%
349,60,113,HLS,HLS,HEALIUS LIMITED," 1,166 ",Health Services,-33%,0.8,6.3,5.5,1,7%,16%,34%,19%
487,241,4,MFG,MFG,MAGELLAN FINANCIAL GROUP LIMITED," 1,150 ",Finance,-72%,2.8,5,45.5,1.8,31%,38%,94%,51%
307,143,467,WAM,WAM,WAM CAPITAL LIMITED," 1,144 ",Finance,-28%,,,19.9,1.1,-16%,-17%,,-24%
61,82,182,GNC,GNC,GRAINCORP LIMITED," 1,118 ",Commercial Services,26%,0.3,5.4,16.3,1.5,8%,26%,11%,8%
299,283,153,DDR,DDR,DICKER DATA LIMITED," 1,076 ",Retail Trade,-27%,0.7,21.7,,9.2,9%,46%,5%,12%
198,394,184,IRE,IRE,IRESS LIMITED," 1,070 ",Technology Services,-23%,3,28.3,494.6,3.3,6%,12%,23%,14%
87,424,275,PSI,PSI,PSC INSURANCE GROUP LIMITED," 1,066 ",Finance,14%,6.4,61.2,44,4.1,3%,7%,,
315,222,334,LNK,LNK,LINK ADMINISTRATION HOLDINGS LIMITED," 1,063 ",Commercial Services,-25%,1.5,,248.3,1.1,-2%,-4%,22%,7%
375,221,44,PDL,PDL,PENDAL GROUP LIMITED," 1,062 ",Finance,-34%,2.7,10.1,24.4,1.2,13%,15%,92%,35%
176,340,207,MXT,MXT,METRICS MASTER INCOME TRUST," 1,062 ",Miscellaneous,-7%,20.4,22.1,242.8,1,4%,4%,93%,4%
369,388,162,LIC,LIC,LIFESTYLE COMMUNITIES LIMITED," 1,049 ",Finance,-30%,7.6,19.1,49.3,3.7,10%,21%,24%,5%
426,456,425,CHN,CHN,CHALICE MINING LIMITED," 1,034 ",Non-Energy Minerals,-38%,,,,9.1,-11%,-11%,,0%
151,405,197,JLG,JLG,JOHNS LYNG GROUP LIMITED," 1,009 ",Industrial Services,-1%,1.7,60.2,238.1,5,6%,13%,12%,16%
150,262,227,WLE,WLE,WAM LEADERS LIMITED," 1,001 ",Miscellaneous,-3%,10.8,21.5,,1.1,5%,5%,52%,4%
296,454,378,DEG,DEG,DE GREY MINING LIMITED, 966 ,Non-Energy Minerals,-22%,42383,,,4.8,-4%,-5%,,
412,429,71,PNI,PNI,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED, 948 ,Finance,-51%,37.7,20.8,231.2,3.8,17%,24%,95%,7%
21,495,458,BRN,BRN,BRAINCHIP HOLDINGS LTD, 930 ,Electronic Technology,93%,714.8,,,57.1,-88%,-114%,,4%
33,376,415,SYR,SYR,SYRAH RESOURCES LIMITED, 929 ,Non-Energy Minerals,98%,27.1,,,2.7,-7%,-10%,-14%,-5%
60,430,376,LKE,LKE,LAKE RESOURCES N.L., 893 ,Non-Energy Minerals,35%,,,,6.6,-4%,-4%,,0%
242,344,282,IVC,IVC,INVOCARE LIMITED, 882 ,Consumer Services,-16%,2.7,72.1,,2.4,1%,4%,29%,9%
403,254,80,PPT,PPT,PERPETUAL LIMITED, 865 ,Finance,-37%,1.8,14.1,38.2,1.5,6%,11%,92%,41%
368,51,209,SFR,SFR,SANDFIRE RESOURCES LIMITED, 863 ,Non-Energy Minerals,-42%,0.8,8.5,7.6,0.6,5%,9%,31%,9%
185,359,202,GOR,GOR,GOLD ROAD RESOURCES LIMITED, 844 ,Non-Energy Minerals,-7%,4,18.9,117,2.4,8%,10%,26%,6%
279,224,355,MFF,MFF,MFF CAPITAL INVESTMENTS LIMITED, 840 ,Miscellaneous,-22%,175.4,,,0.9,-9%,-11%,40%,0%
411,52,214,LFS,LFS,LATITUDE GROUP HOLDINGS LIMITED, 837 ,Finance,-43%,1.2,,6.8,0.9,2%,16%,,10%
452,184,360,JDO,JDO,JUDO CAPITAL HOLDINGS LIMITED, 825 ,Finance,-46%,5.3,,14.7,0.9,0%,-1%,,
63,302,203,MND,MND,MONADELPHOUS GROUP LIMITED, 806 ,Industrial Services,31%,0.7,25.2,58.4,3.2,7%,13%,7%,15%
331,483,237,PNV,PNV,POLYNOVO LIMITED, 800 ,Health Technology,1%,30.9,,,72.3,-3%,-6%,40%,46%
376,471,11,OCL,OCL,OBJECTIVE CORPORATION LIMITED, 790 ,Technology Services,-35%,12.2,66.2,63.1,20.7,15%,36%,94%,68%
302,451,271,MAQ,MAQ,MACQUARIE TELECOM GROUP LIMITED, 787 ,Communications,-24%,4.1,148.5,180.2,8.6,2%,6%,20%,12%
387,370,140,BKL,BKL,BLACKMORES LIMITED, 783 ,Health Technology,-38%,1.9,41.3,61.8,3.2,5%,8%,31%,34%
127,269,139,BKI,BKI,BKI INVESTMENT COMPANY LIMITED, 782 ,Miscellaneous,3%,19.5,12.3,22.4,1.1,8%,9%,98%,5%
435,174,265,CNI,CNI,CENTURIA CAPITAL GROUP, 758 ,Finance,-54%,4.1,,18.3,0.9,-1%,-3%,89%,10%
97,323,36,CMM,CMM,CAPRICORN METALS LTD, 754 ,Non-Energy Minerals,25%,4.1,13.1,11.4,4.7,23%,47%,43%,25%
177,287,310,DBI,DBI,DALRYMPLE BAY INFRASTRUCTURE LIMITED, 750 ,Distribution Services,7%,2.4,53.7,24.4,1.1,1%,2%,30%,4%
421,349,361,360,360,LIFE360 INC., 740 ,Technology Services,-32%,6.1,,,3.1,-17%,-21%,,25%
192,328,173,AUI,AUI,AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED, 735 ,Miscellaneous,-8%,14.9,16.1,111.9,1.1,5%,7%,100%,6%
70,276,311,KAR,KAR,KAROON ENERGY LTD, 734 ,Energy Minerals,22%,2.1,,17.5,2.8,-6%,-20%,49%,15%
84,421,410,OBL,OBL,OMNI BRIDGEWAY LIMITED, 722 ,Commercial Services,24%,52.3,,,3.5,-4%,-14%,,
398,59,187,LFG,LFG,LIBERTY FINANCIAL GROUP, 719 ,Finance,-41%,1.4,5.6,,1,2%,20%,59%,4%
56,162,154,NWH,NWH,NRW HOLDINGS LIMITED, 707 ,Industrial Services,35%,0.5,12,19.6,1.9,7%,17%,15%,24%
43,228,304,TGR,TGR,TASSAL GROUP LIMITED, 702 ,Process Industries,49%,1.4,20.1,26.3,1.3,3%,7%,11%,5%
430,202,48,CCP,CCP,CREDIT CORP GROUP LIMITED, 701 ,Commercial Services,-50%,2.8,11.4,,1.6,12%,14%,89%,37%
162,349,387,INR,INR,IONEER LTD, 687 ,Process Industries,-25%,,,,3.8,-5%,-5%,,0%
418,457,147,NAN,NAN,NANOSONICS LIMITED, 681 ,Health Technology,-41%,9.2,294.3,,7.9,2%,3%,76%,44%
400,168,356,RRL,RRL,REGIS RESOURCES LIMITED, 680 ,Non-Energy Minerals,-36%,1.1,79.6,16.4,0.7,1%,1%,5%,2%
485,409,456,NVX,NVX,NOVONIX LIMITED, 678 ,Producer Manufacturing,-62%,125.8,,,3,-22%,-26%,-283%,-7%
73,210,319,AAC,AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED., 676 ,Consumer Non-Durables,22%,3.9,7.9,107.4,0.8,7%,11%,-41%,-5%
461,441,480,IMU,IMU,IMUGENE LIMITED, 673 ,Health Technology,-62%,,,,7.2,-35%,-37%,,-2%
367,125,237,SLR,SLR,SILVER LAKE RESOURCES LIMITED, 656 ,Non-Energy Minerals,-30%,1.6,13.2,4.8,1,7%,8%,18%,9%
